rank,w_adx,t_trend,t_range,sharpe,max_drawdown,win_rate,closed_trades,avg_trade,profit_factor,error
1,0.2,0.7,0.45,5.729289258187278,0.030073393395448386,1.0,3,0.016186262310364352,-9999.0,
2,0.2,0.7,0.5,5.729289258187278,0.030073393395448386,1.0,3,0.016186262310364352,-9999.0,
3,0.2,0.7,0.55,5.729289258187278,0.030073393395448386,1.0,3,0.016186262310364352,-9999.0,
4,0.2,0.7,0.6,5.729289258187278,0.030073393395448386,1.0,3,0.016186262310364352,-9999.0,
5,0.2,0.7,0.65,5.729289258187278,0.030073393395448386,1.0,3,0.016186262310364352,-9999.0,
6,0.3,0.7,0.45,5.1986167032563655,0.030073393395448386,1.0,3,0.015137672030439328,-9999.0,
7,0.3,0.7,0.5,5.1986167032563655,0.030073393395448386,1.0,3,0.015137672030439328,-9999.0,
8,0.3,0.7,0.55,5.1986167032563655,0.030073393395448386,1.0,3,0.015137672030439328,-9999.0,
9,0.3,0.7,0.6,5.1986167032563655,0.030073393395448386,1.0,3,0.015137672030439328,-9999.0,
10,0.3,0.7,0.65,5.1986167032563655,0.030073393395448386,1.0,3,0.015137672030439328,-9999.0,
11,0.2,0.65,0.45,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
12,0.2,0.65,0.5,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
13,0.2,0.65,0.55,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
14,0.2,0.65,0.6,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
15,0.2,0.65,0.65,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
16,0.3,0.65,0.45,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
17,0.3,0.65,0.5,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
18,0.3,0.65,0.55,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
19,0.3,0.65,0.6,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
20,0.3,0.65,0.65,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
21,0.4,0.65,0.45,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
22,0.4,0.65,0.5,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
23,0.4,0.65,0.55,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
24,0.4,0.65,0.6,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
25,0.4,0.65,0.65,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
26,0.4,0.7,0.45,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
27,0.4,0.7,0.5,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
28,0.4,0.7,0.55,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
29,0.4,0.7,0.6,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
30,0.4,0.7,0.65,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
31,0.5,0.7,0.45,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
32,0.5,0.7,0.5,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
33,0.5,0.7,0.55,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
34,0.5,0.7,0.6,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
35,0.5,0.7,0.65,4.538445518383155,0.030073393395448386,1.0,3,0.01331327771993355,-9999.0,
36,0.6,0.7,0.45,4.34603255630619,0.029660511480263763,1.0,3,0.012574642457132468,-9999.0,
37,0.6,0.7,0.5,4.34603255630619,0.029660511480263763,1.0,3,0.012574642457132468,-9999.0,
38,0.6,0.7,0.55,4.34603255630619,0.029660511480263763,1.0,3,0.012574642457132468,-9999.0,
39,0.6,0.7,0.6,4.34603255630619,0.029660511480263763,1.0,3,0.012574642457132468,-9999.0,
40,0.6,0.7,0.65,4.34603255630619,0.029660511480263763,1.0,3,0.012574642457132468,-9999.0,
41,0.4,0.55,0.45,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
42,0.4,0.55,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
43,0.4,0.55,0.55,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
44,0.4,0.55,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
45,0.4,0.55,0.65,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
46,0.5,0.55,0.45,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
47,0.5,0.55,0.5,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
48,0.5,0.55,0.55,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
49,0.5,0.55,0.6,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
50,0.5,0.55,0.65,3.5395782066247095,0.04454975930517032,0.75,4,0.008831690051074703,3.354731008085396,
51,0.2,0.6,0.45,3.3170356083399604,0.04684987677374572,0.75,4,0.008381869678124931,2.6441356190374603,
52,0.2,0.6,0.5,3.3170356083399604,0.04684987677374572,0.75,4,0.008381869678124931,2.6441356190374603,
53,0.2,0.6,0.55,3.3170356083399604,0.04684987677374572,0.75,4,0.008381869678124931,2.6441356190374603,
54,0.2,0.6,0.6,3.3170356083399604,0.04684987677374572,0.75,4,0.008381869678124931,2.6441356190374603,
55,0.2,0.6,0.65,3.3170356083399604,0.04684987677374572,0.75,4,0.008381869678124931,2.6441356190374603,
56,0.5,0.65,0.45,3.254349747063815,0.04496786398028273,0.75,3,0.008178772437463233,2.478358623155816,
57,0.5,0.65,0.5,3.254349747063815,0.04496786398028273,0.75,3,0.008178772437463233,2.478358623155816,
58,0.5,0.65,0.55,3.254349747063815,0.04496786398028273,0.75,3,0.008178772437463233,2.478358623155816,
59,0.5,0.65,0.6,3.254349747063815,0.04496786398028273,0.75,3,0.008178772437463233,2.478358623155816,
60,0.5,0.65,0.65,3.254349747063815,0.04496786398028273,0.75,3,0.008178772437463233,2.478358623155816,
61,0.6,0.65,0.45,3.232815753638286,0.0433582548124348,0.75,3,0.008139997342786837,2.4714231365006607,
62,0.6,0.65,0.5,3.232815753638286,0.0433582548124348,0.75,3,0.008139997342786837,2.4714231365006607,
63,0.6,0.65,0.55,3.232815753638286,0.0433582548124348,0.75,3,0.008139997342786837,2.4714231365006607,
64,0.6,0.65,0.6,3.232815753638286,0.0433582548124348,0.75,3,0.008139997342786837,2.4714231365006607,
65,0.6,0.65,0.65,3.232815753638286,0.0433582548124348,0.75,3,0.008139997342786837,2.4714231365006607,
66,0.3,0.6,0.45,2.9310472612147636,0.0487449125408021,0.75,3,0.0074978587116423245,2.2336783058056917,
67,0.3,0.6,0.5,2.9310472612147636,0.0487449125408021,0.75,3,0.0074978587116423245,2.2336783058056917,
68,0.3,0.6,0.55,2.9310472612147636,0.0487449125408021,0.75,3,0.0074978587116423245,2.2336783058056917,
69,0.3,0.6,0.6,2.9310472612147636,0.0487449125408021,0.75,3,0.0074978587116423245,2.2336783058056917,
70,0.3,0.6,0.65,2.9310472612147636,0.0487449125408021,0.75,3,0.0074978587116423245,2.2336783058056917,
71,0.6,0.55,0.45,2.930497473655866,0.04662389757956958,0.75,3,0.007415173564846722,2.5491661890538024,
72,0.6,0.55,0.5,2.930497473655866,0.04662389757956958,0.75,3,0.007415173564846722,2.5491661890538024,
73,0.6,0.55,0.55,2.930497473655866,0.04662389757956958,0.75,3,0.007415173564846722,2.5491661890538024,
74,0.6,0.55,0.6,2.930497473655866,0.04662389757956958,0.75,3,0.007415173564846722,2.5491661890538024,
75,0.6,0.55,0.65,2.930497473655866,0.04662389757956958,0.75,3,0.007415173564846722,2.5491661890538024,
76,0.2,0.5,0.45,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
77,0.2,0.5,0.5,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
78,0.2,0.5,0.55,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
79,0.2,0.5,0.6,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
80,0.2,0.5,0.65,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
81,0.2,0.55,0.45,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
82,0.2,0.55,0.5,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
83,0.2,0.55,0.55,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
84,0.2,0.55,0.6,2.6574789055484636,0.05371342210276938,0.75,4,0.007012660192924514,2.120929730086597,
