openTime,close,high,low
1766694300000,840.330,840.960,839.740
1766694600000,840.340,840.770,840.050
1766694900000,840.460,840.550,840.060
1766695200000,840.420,840.450,840.150
1766695500000,840.970,841.030,840.420
1766695800000,840.700,841.120,840.660
1766696100000,840.850,840.970,840.620
1766696400000,840.990,841.120,840.760
1766696700000,841.320,841.320,840.650
1766697000000,842.160,842.300,841.290
1766697300000,842.990,843.410,841.760
1766697600000,842.850,843.070,842.750
1766697900000,842.950,842.990,842.660
1766698200000,842.880,843.150,842.850
1766698500000,843.170,843.540,842.830
1766698800000,843.480,843.530,843.090
1766699100000,843.260,843.780,843.210
1766699400000,842.800,843.260,842.720
1766699700000,842.610,842.990,842.610
1766700000000,842.770,842.840,842.600
1766700300000,841.970,842.760,841.900
1766700600000,840.980,842.060,840.620
1766700900000,841.550,841.560,840.570
1766701200000,841.110,841.540,840.900
1766701500000,841.100,841.300,840.920
1766701800000,841.260,841.770,841.090
1766702100000,841.210,841.330,841.200
1766702400000,839.600,841.210,839.510
1766702700000,836.300,839.600,835.500
1766703000000,836.460,837.160,835.500
1766703300000,837.410,837.930,836.450
1766703600000,837.170,837.470,835.780
1766703900000,837.720,837.910,837.160
1766704200000,838.170,839.000,837.440
1766704500000,838.690,838.910,837.680
1766704800000,837.770,838.690,837.170
1766705100000,837.190,838.040,837.180
1766705400000,831.340,837.190,830.300
1766705700000,828.950,831.340,828.000
1766706000000,828.590,830.120,828.500
1766706300000,828.820,828.910,826.560
1766706600000,829.590,829.830,828.000
1766706900000,829.460,830.590,829.460
1766707200000,830.210,830.220,829.010
1766707500000,829.400,830.790,829.400
1766707800000,830.500,830.620,828.600
1766708100000,829.630,830.490,829.000
1766708400000,830.680,830.810,829.420
1766708700000,829.720,831.620,828.810
1766709000000,831.380,831.440,829.720
1766709300000,830.870,831.570,830.160
1766709600000,829.430,831.040,829.040
1766709900000,829.220,829.810,828.100
1766710200000,829.630,830.170,829.220
1766710500000,830.280,830.280,829.440
1766710800000,830.920,831.060,829.890
1766711100000,831.440,831.850,830.920
1766711400000,831.530,831.870,831.340
1766711700000,831.330,831.710,830.770
1766712000000,832.070,832.160,831.330
1766712300000,832.010,832.360,831.770
1766712600000,832.240,832.320,831.730
1766712900000,832.600,832.660,832.220
1766713200000,832.920,833.280,832.360
1766713500000,833.020,833.280,832.640
1766713800000,832.740,833.350,832.610
1766714100000,832.580,832.970,832.480
1766714400000,832.370,832.690,831.980
1766714700000,833.140,833.150,831.760
1766715000000,836.970,836.970,832.760
1766715300000,842.560,843.040,836.970
1766715600000,842.860,844.970,842.210
1766715900000,841.310,844.400,840.980
1766716200000,841.880,844.320,841.320
1766716500000,841.320,843.250,840.960
1766716800000,842.550,843.190,841.320
1766717100000,841.450,843.120,841.060
1766717400000,843.220,843.240,841.440
1766717700000,842.650,843.500,842.280
1766718000000,841.230,843.370,841.050
1766718300000,841.540,842.100,841.160
1766718600000,841.320,842.600,841.100
1766718900000,840.130,841.860,839.350
1766719200000,839.850,841.100,838.710
1766719500000,839.650,839.860,838.890
1766719800000,839.070,840.010,838.410
1766720100000,839.240,839.820,838.950
1766720400000,839.790,839.850,838.890
1766720700000,841.020,841.500,839.790
1766721000000,840.550,841.430,840.460
1766721300000,840.990,841.160,840.330
1766721600000,838.530,841.260,838.530
1766721900000,838.430,838.650,837.510
1766722200000,839.380,839.390,838.430
1766722500000,839.420,840.100,839.030
1766722800000,838.790,839.760,838.590
1766723100000,839.210,839.440,838.760
1766723400000,840.230,840.980,839.210
1766723700000,840.320,840.480,839.540
1766724000000,841.120,841.530,840.210
1766724300000,841.090,841.950,840.760
1766724600000,841.890,841.930,841.080
1766724900000,841.570,841.890,841.150
1766725200000,841.420,841.940,841.110
1766725500000,840.940,841.580,840.940
1766725800000,840.580,841.100,840.440
1766726100000,840.110,840.630,840.110
1766726400000,840.390,840.470,840.100
1766726700000,840.380,840.450,840.080
1766727000000,840.560,840.690,840.180
1766727300000,840.020,840.850,839.890
1766727600000,840.430,840.640,839.890
1766727900000,840.870,841.030,840.430
1766728200000,840.950,841.180,839.900
1766728500000,841.320,841.840,840.960
1766728800000,841.730,841.860,841.320
1766729100000,842.730,842.890,841.570
1766729400000,843.900,844.750,842.320
1766729700000,844.810,844.950,843.910
1766730000000,844.670,844.940,844.300
1766730300000,844.560,844.940,844.420
1766730600000,843.970,844.730,843.640
1766730900000,844.400,844.540,843.760
1766731200000,844.560,844.850,844.130
1766731500000,843.870,844.560,843.310
1766731800000,844.090,844.110,843.410
1766732100000,844.150,844.640,843.910
1766732400000,844.080,844.540,843.980
1766732700000,843.210,844.360,842.760
1766733000000,846.430,846.460,843.210
1766733300000,846.910,847.480,845.830
1766733600000,846.590,847.210,845.760
1766733900000,846.070,847.500,846.070
1766734200000,844.260,846.240,844.060
1766734500000,842.710,844.650,842.530
1766734800000,842.250,843.400,842.070
1766735100000,841.620,842.680,841.400
1766735400000,841.270,841.760,841.010
1766735700000,841.240,841.360,840.010
1766736000000,841.890,843.320,840.940
1766736300000,841.650,842.360,841.310
1766736600000,842.210,842.280,841.320
1766736900000,842.050,842.670,841.540
1766737200000,842.570,842.720,841.800
1766737500000,841.880,842.580,841.750
1766737800000,841.690,842.060,841.000
1766738100000,841.280,841.700,841.180
1766738400000,841.240,841.480,841.170
1766738700000,841.260,841.520,840.770
1766739000000,841.550,841.600,841.220
1766739300000,842.130,842.140,841.490
1766739600000,841.880,842.430,841.880
1766739900000,841.410,842.160,841.380
1766740200000,840.910,841.420,840.820
1766740500000,841.230,841.290,840.910
1766740800000,841.370,842.110,841.220
1766741100000,841.640,841.790,841.040
1766741400000,841.730,841.740,841.320
1766741700000,841.270,841.720,841.180
1766742000000,841.920,842.030,841.270
1766742300000,843.470,843.690,841.600
1766742600000,842.500,843.460,842.440
1766742900000,842.540,842.780,842.400
1766743200000,842.520,843.240,842.370
1766743500000,842.300,842.730,841.910
1766743800000,842.770,842.970,842.280
1766744100000,841.650,842.780,841.460
1766744400000,841.190,841.660,840.910
1766744700000,841.840,842.010,841.010
1766745000000,840.950,841.850,840.800
1766745300000,840.900,841.070,840.820
1766745600000,840.990,841.120,840.800
1766745900000,841.330,841.730,840.950
1766746200000,841.540,841.620,840.920
1766746500000,841.000,841.540,841.000
1766746800000,840.470,841.010,840.280
1766747100000,840.720,840.750,840.270
1766747400000,840.340,840.710,840.250
1766747700000,840.470,840.470,840.210
1766748000000,839.480,840.460,839.050
1766748300000,839.490,839.800,839.150
1766748600000,839.990,840.120,839.480
1766748900000,839.990,840.220,839.760
1766749200000,840.060,840.200,839.720
1766749500000,839.440,840.070,839.430
1766749800000,839.800,840.110,839.430
1766750100000,839.500,839.950,839.440
1766750400000,840.030,840.130,839.500
1766750700000,840.420,840.580,840.030
1766751000000,840.610,840.960,840.350
1766751300000,840.310,840.900,840.310
1766751600000,840.520,840.530,840.000
1766751900000,840.560,840.880,840.410
1766752200000,840.830,840.890,840.140
1766752500000,840.980,841.060,840.510
1766752800000,841.590,841.720,840.980
1766753100000,841.620,842.100,841.410
1766753400000,842.270,842.380,841.410
1766753700000,841.900,842.310,841.800
1766754000000,842.180,842.380,841.320
1766754300000,842.560,842.590,842.030
1766754600000,843.070,843.370,842.480
1766754900000,842.750,843.070,842.630
1766755200000,842.820,842.890,842.180
1766755500000,842.420,842.820,842.420
1766755800000,842.680,842.780,842.080
1766756100000,842.980,843.120,842.130
1766756400000,842.750,843.390,842.730
1766756700000,843.370,843.820,842.690
1766757000000,843.270,843.770,842.950
1766757300000,843.310,843.480,843.220
1766757600000,843.420,843.760,842.620
1766757900000,841.820,843.410,841.520
1766758200000,842.040,842.260,841.670
1766758500000,842.920,842.940,841.960
1766758800000,843.190,843.540,842.710
1766759100000,842.560,843.220,842.380
1766759400000,841.000,842.760,840.390
1766759700000,839.460,841.770,839.250
1766760000000,839.440,840.180,838.260
1766760300000,835.160,839.480,834.490
1766760600000,832.750,835.410,832.040
1766760900000,830.310,832.740,830.010
1766761200000,824.990,830.310,821.010
1766761500000,824.830,826.270,823.540
1766761800000,824.330,825.100,822.870
1766762100000,825.570,826.850,823.030
1766762400000,827.750,828.280,824.500
1766762700000,827.650,827.840,826.500
1766763000000,828.690,829.610,827.020
1766763300000,827.870,828.900,827.100
1766763600000,827.980,828.680,827.230
1766763900000,829.240,830.000,827.570
1766764200000,828.060,829.520,827.840
1766764500000,828.940,829.190,827.890
1766764800000,829.180,829.800,828.240
1766765100000,829.490,829.490,827.970
1766765400000,828.190,829.490,828.000
1766765700000,829.140,829.150,828.020
1766766000000,829.470,830.100,828.690
1766766300000,830.240,830.300,829.140
1766766600000,830.380,831.000,830.000
1766766900000,831.230,831.960,830.220
1766767200000,830.900,831.710,830.500
1766767500000,830.720,831.210,829.840
1766767800000,830.730,831.050,830.030
1766768100000,828.580,830.750,828.330
1766768400000,829.930,830.190,828.500
1766768700000,829.900,830.650,829.750
1766769000000,830.230,830.470,829.580
1766769300000,830.860,831.440,830.220
1766769600000,830.580,830.860,830.230
1766769900000,832.490,833.000,830.450
1766770200000,832.450,833.400,832.320
1766770500000,832.410,832.670,831.820
1766770800000,832.370,832.940,832.220
1766771100000,832.780,832.790,832.050
1766771400000,830.980,832.960,830.750
