openTimeMs,open,high,low,close,volume,closeTimeMs,quoteAssetVolume,tradeCount,takerBuyBaseVolume,takerBuyQuoteVolume,ignore
1764360000000,137.54000000,138.30000000,136.59000000,137.33000000,302295.33100000,1764374399999,41540162.90321000,156150,131862.79000000,18120058.35261000,0
1764374400000,137.33000000,137.89000000,136.70000000,136.83000000,246755.39900000,1764388799999,33883423.48174000,114612,97529.92300000,13396383.64264000,0
1764388800000,136.84000000,137.72000000,136.22000000,137.28000000,316477.66100000,1764403199999,43395262.66521000,109326,126528.57600000,17347886.05500000,0
1764403200000,137.28000000,137.48000000,136.39000000,137.33000000,265128.87600000,1764417599999,36302176.48577000,108170,83914.84600000,11491595.80999000,0
1764417600000,137.33000000,137.66000000,136.50000000,137.58000000,234356.04600000,1764431999999,32123199.69896000,117088,121532.20900000,16654575.21490000,0
1764432000000,137.58000000,138.10000000,134.76000000,135.68000000,526704.72600000,1764446399999,71807802.47267000,183438,270329.97000000,36851688.40038000,0
1764446400000,135.67000000,136.52000000,135.33000000,135.91000000,269898.46300000,1764460799999,36661260.82416000,116458,115186.88400000,15652965.69041000,0
1764460800000,135.92000000,136.80000000,135.25000000,136.40000000,431086.66800000,1764475199999,58683124.34052000,136669,139443.05800000,18973151.46692000,0
1764475200000,136.41000000,136.95000000,135.52000000,136.53000000,237426.82100000,1764489599999,32345783.12141000,97687,120306.83600000,16385592.30690000,0
1764489600000,136.52000000,137.10000000,136.12000000,136.42000000,254052.04700000,1764503999999,34726284.95430000,133790,112548.39800000,15385079.75794000,0
1764504000000,136.43000000,140.19000000,136.20000000,138.33000000,701970.73500000,1764518399999,97240155.41823000,247072,317134.53000000,43926080.90118000,0
1764518400000,138.34000000,139.82000000,137.37000000,137.63000000,426964.13200000,1764532799999,59164627.42114000,163272,223602.10700000,30968312.35897000,0
1764532800000,137.62000000,137.93000000,133.26000000,133.48000000,556664.92600000,1764547199999,75722249.41683000,213062,257632.64200000,35091595.91630000,0
1764547200000,133.48000000,133.74000000,126.53000000,126.97000000,1614647.79700000,1764561599999,208972790.00535000,804639,737766.53400000,95410255.41058000,0
1764561600000,126.97000000,127.47000000,125.81000000,127.42000000,509645.04600000,1764575999999,64506004.90244000,263634,268036.34600000,33929323.94800000,0
