algorithm,comparisonWarning,completePaths,failedPaths,failureRate,horizon,meanFees,meanFunding,meanTerminalOrStoppedReturn,medianPathSharpe,paths,seed,stress,worstDrawdown,worstES95,worstTerminalOrStoppedReturn
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.0014750017575489707,-3.032189046086095e-05,0.024248769915066328,2.01024383873169,30,11,base,0.14353111822749354,0.020382930433924584,-0.0484654309792838
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.002209488351677273,-2.990775006475122e-05,0.022749300874460535,1.7642946466670626,30,11,cost1_5x,0.1444830643865691,0.02039056441187248,-0.053266746085217975
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.0029419753079475823,-2.9495455304483848e-05,0.021253895917478165,1.5198350531424705,30,11,cost2x,0.1454340346177837,0.020398197919403283,-0.05804478284862391
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.003693143890348859,-2.8929430284052092e-05,0.01974249138866594,1.4287567738187805,30,11,extreme25bp,0.14638402984604137,0.020405830961783944,-0.0627996496306149
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.00134548223344337,0.0002703792254281095,-0.005989428022538442,-0.43901924039018836,30,11,delay1bar,0.15374900281932902,0.02992319879018135,-0.11701558230903975
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,26,4,0.13333333333333333,1,0.008477865617708722,0.000998690851375006,0.0521887093445408,1.1122828230972763,30,11,partial50pct,0.17784556728276713,0.022030249417841635,-0.12809586069133072
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0014262442569175039,-3.470714962088774e-05,0.024261748735531125,1.9975266514055847,30,11,missed10pct,0.1437156601339088,0.020382930433920476,-0.04543694310738222
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.0014729338125424281,-2.9873025609979703e-05,0.0226670452400103,1.7640392075318254,30,11,impact10bp,0.14460846243732117,0.020384856089709413,-0.053489673404792826
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.001467020010260676,-5.520922934303834e-05,0.023919451518244667,1.7348104075840718,30,11,funding2x,0.14355472535112557,0.02040792479293324,-0.049465934336904493
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0009431149418960183,-0.00027208897541598927,-0.023855764880029773,-0.009127218244256576,30,23,base,0.1620941656958661,0.01843830006280811,-0.1285993381065551
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.001413607661165467,-0.00027238280004066755,-0.024768773161176795,-0.08978879116648819,30,23,cost1_5x,0.16264047653082392,0.018445199733809203,-0.12901374519545017
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0018833923619250045,-0.00027267580608823447,-0.02568039344000003,-0.17053011170052945,30,23,cost2x,0.16318644412146222,0.018452099927353638,-0.12942800339182237
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0023524704028101595,-0.00027296799507233306,-0.02659062840707601,-0.2513406508485022,30,23,extreme25bp,0.16373206868033496,0.018459000632561562,-0.12984211272472945
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0009630100552219835,-0.0004813423337988661,-0.017600702128306594,0.09111560027191745,30,23,delay1bar,0.17330716771603638,0.018195042921428053,-0.1317257412891205
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,18,12,0.4,1,0.00788144814424786,-0.0008679653873966493,-0.05269995216463587,-0.9055604519345994,30,23,partial50pct,0.16094635803607538,0.01664765788671459,-0.12851610903472732
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0008613551587278105,-0.0002708888893512813,-0.022455822543017992,0.3868578238917875,30,23,missed10pct,0.16045625490886106,0.017703601491409798,-0.12826046542281289
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0009424030766386378,-0.0002723663173881863,-0.024727584366120967,-0.08349321917899204,30,23,impact10bp,0.16243371180136168,0.018439935799803076,-0.12883168188284366
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,0,30,1.0,1,0.0009427689316412497,-0.0005394919444374371,-0.023598818430745405,0.03494927387058184,30,23,funding2x,0.15670531580030433,0.018463296775894755,-0.13131299297642118
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,5,25,0.8333333333333334,1,0.004268879557019085,-0.0011451139195321973,-0.031814760459909525,-0.6013766223883499,30,47,base,0.16293527940511887,0.0165316879905528,-0.13957226550636548
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,5,25,0.8333333333333334,1,0.0063559827025354695,-0.0011439376009924744,-0.035903058636853266,-0.7940764298362486,30,47,cost1_5x,0.16340458574009553,0.016550425940525963,-0.1402009800162749
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,4,26,0.8666666666666667,1,0.007353517949397803,-0.001047430388386087,-0.036198598097610946,-0.9187382829792872,30,47,cost2x,0.16387363592140913,0.016569163740057076,-0.1408292843784068
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,3,27,0.9,1,0.008115590777819088,-0.0010224690387595113,-0.03677206702727358,-1.084687827986149,30,47,extreme25bp,0.16434243007339866,0.016587901389076027,-0.1414571788118002
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,6,24,0.8,1,0.003154973981471546,-0.0015622112170446468,-0.032187684347642555,-0.8448334653342847,30,47,delay1bar,0.17330716771590038,0.018195042921428,-0.1317257412891205
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,17,13,0.43333333333333335,1,0.009044233020715513,-0.0044764628097101805,-0.03678007028258411,-0.6091182776258353,30,47,partial50pct,0.16652986385550728,0.017088974634427767,-0.12704652336602662
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,6,24,0.8,1,0.004314093147180906,-0.0012123315540828732,-0.028732572856861375,-0.3231158073818051,30,47,missed10pct,0.16096472266550377,0.016540196976454615,-0.1295009326534391
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,5,25,0.8333333333333334,1,0.004236979786982024,-0.001144073744581591,-0.035852725531078766,-0.7923627087712093,30,47,impact10bp,0.16326106329881507,0.01654582428177467,-0.14001842150416388
ppo,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,5,25,0.8333333333333334,1,0.004265028172683959,-0.0022774342403432332,-0.0327965891999838,-0.6668336067653227,30,47,funding2x,0.1645638011771281,0.016544706473008715,-0.14211161189223676
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,2,28,0.9333333333333333,1,0.0032004626974554127,-0.00017501485237596335,-0.0029782327963081743,-0.49259396898807417,30,11,base,0.18228884598415473,0.029755271168053876,-0.16813301480001108
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,2,28,0.9333333333333333,1,0.004767736968479556,-0.00017813441534771224,-0.0046685588160183455,-0.5409855368327962,30,11,cost1_5x,0.1827373484429674,0.029773866909245217,-0.15229226395690698
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.006064117373794493,-0.0002882247323713242,-0.007527880221568665,-0.5893818999136808,30,11,cost2x,0.18318566590830876,0.02979246272731706,-0.15260466849025
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.007354019476483477,-0.0002439624548507266,-0.01070185266832104,-0.6627470916469025,30,11,extreme25bp,0.1836337984323544,0.029811058622097764,-0.14963456819802345
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,5,25,0.8333333333333334,1,0.003073320736220685,0.00041366717883471233,-0.008841874062066083,-0.19354187942536466,30,11,delay1bar,0.18107769672182672,0.029680611602964535,-0.12912932839302382
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,19,11,0.36666666666666664,1,0.007584908298291717,0.0017274907373534913,-0.026287469115466453,-0.28287183767797874,30,11,partial50pct,0.19548943870223234,0.01839809617638937,-0.1620699067853496
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,1,29,0.9666666666666667,1,0.00316621281661769,-0.000401780467998925,0.0012374048751767545,-0.7712108066320369,30,11,missed10pct,0.18179354907698564,0.029755271168053876,-0.16103353872400494
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,2,28,0.9333333333333333,1,0.003178666328110787,-0.00017748179550180983,-0.004447520287837052,-0.532148927841273,30,11,impact10bp,0.18254347040163288,0.029762547564671893,-0.15225822735065675
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,2,28,0.9333333333333333,1,0.003192264289028557,-0.00047465202586489263,-0.0029997919087846586,-0.4001813809645558,30,11,funding2x,0.18089098281790428,0.029730262001548158,-0.16888347321706243
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,14,16,0.5333333333333333,1,0.004243283264068826,-0.0010799093141903584,0.0030919765748438615,0.4022642194614834,30,23,base,0.16672156919738912,0.01912729285742491,-0.14718697243482093
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,13,17,0.5666666666666667,1,0.006252471156043988,-0.0012575797753057564,-0.006941169644015296,0.3030400440929847,30,23,cost1_5x,0.16789381737440745,0.01915535033907265,-0.14647634762654937
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,11,19,0.6333333333333333,1,0.0081055706241357,-0.0012432056436819429,-0.012846154797234636,0.2431949177234755,30,23,cost2x,0.16128503864944999,0.02266906666734278,-0.1500911492207495
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,11,19,0.6333333333333333,1,0.009993445281262173,-0.0012314754001082572,-0.014880334634221481,0.1833683281040009,30,23,extreme25bp,0.16217636446895478,0.02270275741436953,-0.15369124578576532
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,15,15,0.5,1,0.0032457464323492483,-0.0008898345302881064,-0.02196526676264702,-0.010746090252453475,30,23,delay1bar,0.16556826973640615,0.02192503267957603,-0.16556826973640615
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,20,10,0.3333333333333333,1,0.0039620894201078845,-0.0009359499325178716,-0.02019290971408448,0.0014692638328117347,30,23,partial50pct,0.16499082091136186,0.017483652839774485,-0.16085024769476053
double_dqn,Stopped paths have different endpoints; these descriptive aggregates cannot establish relative economic superiority.,14,16,0.5333333333333333,1,0.004094122902484042,-0.0011852068232895236,-0.011005232680402204,0.22573249025463266,30,23,missed10pct,0.16541711448527807,0.021685565400789704,-0.15153164426832177
