id,kind,status,reasonCode,observations
ppo/h1/f0/s11,training,complete,0,
ppo/h1/f0/s11/base/ADAUSDT,replay,failed,5,190
ppo/h1/f0/s11/base/AVAXUSDT,replay,failed,5,183
ppo/h1/f0/s11/base/BNBUSDT,replay,failed,5,185
ppo/h1/f0/s11/base/BTCUSDT,replay,complete,0,599
ppo/h1/f0/s11/base/DOGEUSDT,replay,failed,5,139
ppo/h1/f0/s11/base/ETHUSDT,replay,failed,5,185
ppo/h1/f0/s11/base/LINKUSDT,replay,failed,5,184
ppo/h1/f0/s11/base/LTCUSDT,replay,failed,5,185
ppo/h1/f0/s11/base/SOLUSDT,replay,failed,5,184
ppo/h1/f0/s11/base/XRPUSDT,replay,failed,5,184
ppo/h1/f0/s11/cost1_5x/ADAUSDT,replay,failed,5,190
ppo/h1/f0/s11/cost1_5x/AVAXUSDT,replay,failed,5,183
ppo/h1/f0/s11/cost1_5x/BNBUSDT,replay,failed,5,185
ppo/h1/f0/s11/cost1_5x/BTCUSDT,replay,complete,0,599
ppo/h1/f0/s11/cost1_5x/DOGEUSDT,replay,failed,5,139
ppo/h1/f0/s11/cost1_5x/ETHUSDT,replay,failed,5,185
ppo/h1/f0/s11/cost1_5x/LINKUSDT,replay,failed,5,184
ppo/h1/f0/s11/cost1_5x/LTCUSDT,replay,failed,5,185
ppo/h1/f0/s11/cost1_5x/SOLUSDT,replay,failed,5,184
ppo/h1/f0/s11/cost1_5x/XRPUSDT,replay,failed,5,184
ppo/h1/f0/s11/cost2x/ADAUSDT,replay,failed,5,190
ppo/h1/f0/s11/cost2x/AVAXUSDT,replay,failed,5,183
ppo/h1/f0/s11/cost2x/BNBUSDT,replay,failed,5,185
ppo/h1/f0/s11/cost2x/BTCUSDT,replay,complete,0,599
ppo/h1/f0/s11/cost2x/DOGEUSDT,replay,failed,5,139
ppo/h1/f0/s11/cost2x/ETHUSDT,replay,failed,5,185
ppo/h1/f0/s11/cost2x/LINKUSDT,replay,failed,5,184
ppo/h1/f0/s11/cost2x/LTCUSDT,replay,failed,5,185
ppo/h1/f0/s11/cost2x/SOLUSDT,replay,failed,5,184
ppo/h1/f0/s11/cost2x/XRPUSDT,replay,failed,5,184
ppo/h1/f0/s11/extreme25bp/ADAUSDT,replay,failed,5,190
ppo/h1/f0/s11/extreme25bp/AVAXUSDT,replay,failed,5,183
ppo/h1/f0/s11/extreme25bp/BNBUSDT,replay,failed,5,185
ppo/h1/f0/s11/extreme25bp/BTCUSDT,replay,complete,0,599
ppo/h1/f0/s11/extreme25bp/DOGEUSDT,replay,failed,5,139
ppo/h1/f0/s11/extreme25bp/ETHUSDT,replay,failed,5,185
ppo/h1/f0/s11/extreme25bp/LINKUSDT,replay,failed,5,184
ppo/h1/f0/s11/extreme25bp/LTCUSDT,replay,failed,5,185
ppo/h1/f0/s11/extreme25bp/SOLUSDT,replay,failed,5,184
ppo/h1/f0/s11/extreme25bp/XRPUSDT,replay,failed,5,184
ppo/h1/f0/s11/delay1bar/ADAUSDT,replay,failed,5,186
ppo/h1/f0/s11/delay1bar/AVAXUSDT,replay,failed,5,154
ppo/h1/f0/s11/delay1bar/BNBUSDT,replay,failed,5,290
