algorithm,horizon,seed,fold,symbol,status,reason,observations,netReturn,sharpe,maxDrawdown,expectedShortfall95,oodObservationRate,latencyP99Ms
ppo,1,11,0,ADAUSDT,failed,turnover_limit,190,0.0975122950628462,2.9441938008045114,0.04676566034909013,0.00800073061910186,0.0,0.05465969999999986
ppo,1,11,0,AVAXUSDT,failed,turnover_limit,183,-0.0484654309792838,-1.219402067263579,0.14353111822749354,0.019863808068195397,0.0,0.08484760000000018
ppo,1,11,0,BNBUSDT,failed,turnover_limit,185,0.08787165265763508,5.0636675485076195,0.0020714611950093387,0.0002321916674177804,0.0,0.05995416
ppo,1,11,0,BTCUSDT,complete,,599,0.03657759303926711,1.0649483298889273,0.03009764202544829,0.0032951087350628497,0.0,0.05147439999999989
ppo,1,11,0,DOGEUSDT,failed,turnover_limit,139,-0.03811650846247894,-3.8117156993783334,0.04244337965064471,0.007287160312979284,0.0,0.08412866000000006
ppo,1,11,0,ETHUSDT,failed,turnover_limit,185,0.007994853437963911,1.735392685964653,0.0029362263824482815,0.00029375074838460246,0.0,0.14931327999999994
ppo,1,11,0,LINKUSDT,failed,turnover_limit,184,0.03471550881782193,1.618101423782168,0.03743975520195264,0.00651871435770246,0.0,0.09272817999999998
ppo,1,11,0,LTCUSDT,failed,turnover_limit,185,0.07505372869213045,4.8064911208628915,0.004059577199775233,0.00045605298322332066,0.0,0.13113759999999997
ppo,1,11,0,SOLUSDT,failed,turnover_limit,184,0.061101640411652225,2.369354469927253,0.047998886575461364,0.008193834021388935,0.0,0.07084365
ppo,1,11,0,XRPUSDT,failed,turnover_limit,184,0.023547201607035717,1.7502065217686757,0.01952174732523826,0.002141943874232144,0.0,0.05885933999999993
ppo,1,23,0,ADAUSDT,failed,drawdown_limit,180,-0.05782304678679906,-1.5273335007867763,0.15137711101928153,0.015375024637409522,0.0,0.08937117000000012
ppo,1,23,0,AVAXUSDT,failed,drawdown_limit,173,-0.07318557841200535,-1.8971834147630637,0.1523481672548891,0.015948858911291792,0.0,0.07134284
ppo,1,23,0,BNBUSDT,failed,drawdown_limit,284,-0.11700891394152335,-2.3220962094215007,0.16095276322640106,0.015167672378213792,0.0,0.05364549000000003
ppo,1,23,0,BTCUSDT,failed,drawdown_limit,279,-0.11906292722182299,-3.074607255540172,0.1620941656958661,0.013240648239741819,0.0,0.051549939999999954
ppo,1,23,0,DOGEUSDT,failed,drawdown_limit,273,-0.042122232046807095,-0.5697001607406283,0.1574492273011705,0.0177839248500867,0.0,0.08464779999999977
ppo,1,23,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.1004932000000002
ppo,1,23,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.11278845000000011
ppo,1,23,0,LTCUSDT,failed,drawdown_limit,181,-0.1033925316680222,-3.434008889341922,0.15186117279489875,0.015836640065093322,0.0,0.07115039999999936
ppo,1,23,0,SOLUSDT,failed,drawdown_limit,174,-0.03852482071570973,-0.9745588845110451,0.15071355443484002,0.01653168799055281,0.0,0.07885131000000054
ppo,1,23,0,XRPUSDT,failed,drawdown_limit,180,-0.1285993381065551,-4.633839892418913,0.15226029760268356,0.015679502670629158,0.0,0.07655072000000009
ppo,1,47,0,ADAUSDT,failed,drawdown_limit,175,-0.05762213107055414,-1.605021572746502,0.15590466644013412,0.016173985854881896,0.0,0.053394819999999975
ppo,1,47,0,AVAXUSDT,failed,drawdown_limit,174,-0.0817815085618423,-2.1267824816539282,0.1610064603792355,0.01616646966530534,0.0,0.03661442000000013
ppo,1,47,0,BNBUSDT,complete,,599,-0.0039670525474090335,0.04955866071435108,0.12642619621369078,0.01252843260630023,0.0,0.04566971999999988
ppo,1,47,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.030707239999999976
ppo,1,47,0,DOGEUSDT,complete,,599,-0.012667528051317878,0.010053694525240716,0.12929473388187085,0.01614038719289714,0.0,0.03710189999999994
ppo,1,47,0,ETHUSDT,failed,drawdown_limit,227,-0.08193788443646122,-2.271003371069997,0.15176909781023562,0.013701933324032725,0.0,0.040175660000000044
ppo,1,47,0,LINKUSDT,failed,drawdown_limit,174,-0.08340792684303655,-2.6961256300979617,0.1539751421586515,0.015015389299227164,0.0,0.03056664000000003
ppo,1,47,0,LTCUSDT,failed,drawdown_limit,274,-0.10317760103496287,-2.177112821377913,0.15165786084235333,0.015144201593506903,0.0,0.06782758999999997
ppo,1,47,0,SOLUSDT,failed,drawdown_limit,174,-0.02884665380008633,-0.6948107306096598,0.15049909810773088,0.0165316879905528,0.0,0.07286881000000003
ppo,1,47,0,XRPUSDT,failed,drawdown_limit,182,-0.13957226550636548,-5.0207906504114375,0.16293527940511887,0.015327123585953173,0.0,0.09873782999999997
double_dqn,1,11,0,ADAUSDT,failed,turnover_limit,80,0.05453158988738971,4.592234024973533,0.018335162402432603,0.008422041100125066,0.0,0.06117070999999997
double_dqn,1,11,0,AVAXUSDT,failed,turnover_limit,80,0.0025290884281026216,0.27778149475173136,0.036575040219043786,0.01045301873892554,0.0,0.045646459999999764
double_dqn,1,11,0,BNBUSDT,failed,turnover_limit,94,-0.00844637154540695,-1.5111714803387009,0.025363717434506716,0.005203672029419892,0.0,0.03658234999999992
double_dqn,1,11,0,BTCUSDT,failed,turnover_limit,185,0.01642438004400093,1.0759465536256643,0.05209659529071664,0.00636336746097983,0.0,0.07785655999999996
double_dqn,1,11,0,DOGEUSDT,failed,turnover_limit,114,0.05176229889400763,3.13349086086957,0.035040063835796276,0.009258898607678126,0.0,0.07202295000000002
double_dqn,1,11,0,ETHUSDT,failed,turnover_limit,186,0.05814521542060547,2.7938549712610827,0.046618102888454804,0.00760129712326355,0.0,0.08788350000000014
double_dqn,1,11,0,LINKUSDT,failed,turnover_limit,95,0.02805325092932942,2.553388405821668,0.026166311455203983,0.008948990873861095,0.0,0.09727268000000004
double_dqn,1,11,0,LTCUSDT,failed,turnover_limit,95,-0.008619141203075609,-0.9749031303119835,0.033977239170316476,0.007063407583378289,0.0,0.07105688000000007
double_dqn,1,11,0,SOLUSDT,failed,turnover_limit,161,0.020218663206860166,0.8833632872611924,0.051382902097611205,0.010757613400387882,0.0,0.06610920000000005
double_dqn,1,11,0,XRPUSDT,failed,turnover_limit,152,-0.011308597999827419,-0.8766257901197945,0.04133410218640898,0.006907015296094526,0.0,0.07632996000000003
double_dqn,1,23,0,ADAUSDT,failed,turnover_limit,246,0.01749381707944697,0.4252829657751357,0.1384089943928719,0.019055272109219663,0.0,0.07595390000000007
double_dqn,1,23,0,AVAXUSDT,failed,turnover_limit,183,-0.041318246200429454,-0.908336836580666,0.11635721510743613,0.018950497152274936,0.0,0.055825720000000065
double_dqn,1,23,0,BNBUSDT,failed,drawdown_limit,279,-0.11014414839393705,-2.412859801931139,0.15442963671386511,0.01426862471176287,0.0,0.08703603999999843
double_dqn,1,23,0,BTCUSDT,failed,drawdown_limit,279,-0.11320146360340932,-2.909552000979353,0.1565190176913196,0.013240648306748029,0.0,0.08197031999999937
double_dqn,1,23,0,DOGEUSDT,failed,turnover_limit,158,0.11486590729830692,3.6255641878441787,0.06141445151918046,0.013060001944617677,0.0,0.25118694000000064
double_dqn,1,23,0,ETHUSDT,failed,drawdown_limit,273,-0.09812132868395973,-2.2244382918106242,0.16672156919738912,0.014278250080081814,0.0,0.13892391999999945
double_dqn,1,23,0,LINKUSDT,complete,,599,0.0728529334613881,0.6815461296136373,0.12056027274248793,0.015405643843778552,0.0,0.09539671999999999
double_dqn,1,23,0,LTCUSDT,failed,drawdown_limit,275,-0.10448209170897316,-2.280427246011275,0.1528918336001459,0.014517085474293858,0.0,0.09404563999999987
double_dqn,1,23,0,SOLUSDT,complete,,599,0.013916444364389324,0.22719287134833321,0.14428695681843162,0.01912729285742491,0.0,0.19459019999999985
double_dqn,1,23,0,XRPUSDT,failed,drawdown_limit,181,-0.13748475169587515,-4.94936725761239,0.1594995746190736,0.015762756742843654,0.0,0.08657179999999991
double_dqn,1,47,0,ADAUSDT,failed,turnover_limit,31,0.05414787504055063,13.246852650099907,0.008161477049794641,0.008106203489553654,0.0,0.017112099999999998
double_dqn,1,47,0,AVAXUSDT,failed,drawdown_limit,173,-0.07912707080135606,-2.1591488370868275,0.15234816725488853,0.015948858911291816,0.0,0.032276720000000016
double_dqn,1,47,0,BNBUSDT,failed,drawdown_limit,278,-0.11690127849040333,-2.452324158720268,0.16085048447266603,0.014779245517009685,0.0,0.022464330000000005
double_dqn,1,47,0,BTCUSDT,failed,drawdown_limit,279,-0.11532933097720632,-2.9652504357497675,0.15854294487320908,0.013240648239741819,0.0,0.029460039999999996
double_dqn,1,47,0,DOGEUSDT,failed,drawdown_limit,278,-0.025864955947425217,-0.31781547345644595,0.1550825918636377,0.018663785903553536,0.0,0.05047384000000014
double_dqn,1,47,0,ETHUSDT,failed,drawdown_limit,227,-0.08306011126844504,-2.277183610507654,0.15280596390242907,0.013756619379250387,0.0,0.047866800000000036
