open,high,low,close,volume
861.46000000,861.60000000,860.25000000,860.26000000,391.72300000
860.26000000,861.10000000,859.91000000,860.99000000,509.77200000
860.99000000,860.99000000,860.14000000,860.53000000,138.16600000
860.54000000,861.10000000,859.23000000,861.01000000,395.98800000
861.00000000,861.10000000,860.50000000,860.74000000,179.36000000
860.74000000,861.48000000,860.51000000,861.41000000,149.46400000
861.40000000,863.12000000,861.32000000,862.89000000,410.62000000
862.88000000,864.00000000,862.43000000,863.93000000,339.03500000
863.93000000,864.71000000,863.74000000,864.67000000,397.39000000
864.67000000,864.90000000,857.02000000,860.67000000,1745.76600000
860.67000000,862.00000000,860.60000000,861.45000000,434.68200000
861.45000000,862.62000000,861.30000000,862.41000000,498.82600000
862.41000000,864.00000000,861.81000000,864.00000000,970.19900000
864.00000000,864.18000000,863.10000000,863.10000000,341.19400000
863.11000000,864.00000000,862.80000000,863.68000000,337.72100000
863.68000000,865.00000000,863.68000000,864.91000000,712.38700000
864.91000000,864.91000000,863.40000000,863.46000000,287.44000000
863.46000000,863.51000000,862.40000000,862.79000000,349.05300000
862.79000000,862.79000000,861.97000000,862.56000000,541.60400000
862.56000000,863.36000000,862.56000000,862.99000000,510.41200000
862.99000000,863.48000000,862.04000000,863.44000000,648.43000000
863.43000000,863.46000000,862.72000000,863.12000000,524.65100000
863.11000000,863.11000000,859.84000000,860.10000000,2030.77600000
860.10000000,861.70000000,859.91000000,861.46000000,625.51100000
861.46000000,862.45000000,861.42000000,862.31000000,545.24500000
862.31000000,864.00000000,861.60000000,863.67000000,2118.04800000
863.67000000,864.16000000,863.36000000,863.81000000,590.30400000
863.81000000,864.34000000,863.60000000,863.93000000,481.45100000
863.93000000,863.93000000,862.79000000,862.96000000,452.32200000
862.96000000,864.00000000,862.89000000,863.95000000,433.13000000
863.95000000,864.73000000,862.77000000,864.51000000,614.88900000
864.51000000,864.51000000,863.49000000,863.50000000,277.55100000
863.50000000,863.50000000,862.32000000,863.01000000,329.77300000
863.01000000,863.01000000,861.27000000,861.38000000,494.29900000
861.37000000,861.38000000,859.65000000,859.91000000,770.38900000
859.91000000,860.53000000,859.01000000,860.40000000,1337.82500000
860.40000000,860.60000000,859.77000000,859.80000000,337.69200000
859.79000000,860.64000000,859.33000000,859.77000000,253.42900000
859.78000000,860.40000000,859.19000000,859.19000000,328.84200000
859.19000000,859.76000000,858.28000000,859.50000000,292.10200000
859.51000000,861.10000000,859.50000000,860.56000000,416.87000000
860.56000000,860.83000000,859.27000000,860.06000000,269.99200000
860.06000000,862.18000000,859.28000000,862.12000000,265.45400000
862.12000000,862.74000000,861.94000000,862.00000000,359.66400000
862.01000000,862.20000000,860.68000000,861.12000000,218.48600000
861.12000000,862.24000000,860.87000000,861.18000000,247.92200000
861.17000000,861.23000000,859.52000000,859.69000000,425.65600000
859.69000000,860.90000000,859.60000000,859.66000000,542.79900000
859.66000000,860.08000000,858.86000000,859.67000000,672.18700000
859.68000000,860.52000000,859.50000000,859.80000000,436.23900000
859.79000000,859.99000000,856.20000000,856.20000000,977.04500000
856.18000000,858.16000000,856.05000000,856.75000000,1204.48600000
856.76000000,856.96000000,855.49000000,855.82000000,599.28100000
855.82000000,856.60000000,855.39000000,855.98000000,576.08300000
855.98000000,858.46000000,855.98000000,858.04000000,941.02400000
858.04000000,858.54000000,857.10000000,857.15000000,404.96500000
857.15000000,858.43000000,857.14000000,858.41000000,277.00600000
858.41000000,859.59000000,858.41000000,859.14000000,262.63900000
859.13000000,859.46000000,858.32000000,859.15000000,183.52000000
859.15000000,859.15000000,857.11000000,858.37000000,411.35700000
858.37000000,858.37000000,857.28000000,857.54000000,163.33700000
857.54000000,858.47000000,857.37000000,858.31000000,159.04100000
