close,high,low
839.36000000,839.58000000,838.97000000
839.47000000,840.04000000,839.01000000
840.59000000,840.70000000,839.44000000
840.30000000,840.60000000,839.76000000
841.40000000,841.46000000,840.09000000
843.72000000,843.90000000,841.39000000
846.21000000,846.80000000,843.69000000
848.31000000,848.92000000,846.11000000
848.48000000,850.22000000,847.32000000
846.48000000,849.43000000,845.21000000
845.33000000,846.60000000,844.93000000
844.89000000,846.23000000,844.48000000
843.91000000,845.07000000,843.27000000
845.69000000,846.03000000,843.90000000
844.31000000,845.92000000,844.27000000
843.17000000,844.47000000,843.02000000
842.38000000,843.46000000,842.25000000
843.15000000,843.30000000,842.37000000
842.83000000,844.08000000,842.76000000
844.33000000,844.85000000,842.56000000
844.44000000,844.99000000,842.80000000
844.56000000,845.94000000,844.18000000
844.16000000,844.96000000,843.96000000
842.45000000,844.96000000,842.15000000
844.10000000,844.55000000,842.20000000
843.52000000,844.82000000,843.27000000
843.30000000,844.05000000,842.95000000
845.27000000,845.46000000,843.30000000
845.57000000,845.87000000,844.73000000
844.88000000,845.62000000,844.65000000
844.37000000,845.07000000,843.89000000
843.96000000,844.97000000,843.59000000
843.69000000,844.32000000,843.36000000
845.67000000,845.73000000,843.59000000
846.18000000,846.29000000,845.24000000
845.99000000,846.64000000,845.71000000
845.41000000,847.48000000,845.32000000
845.64000000,846.30000000,844.83000000
846.07000000,846.37000000,845.40000000
845.48000000,846.37000000,844.89000000
845.45000000,846.30000000,844.40000000
845.58000000,845.78000000,844.92000000
846.56000000,847.07000000,845.10000000
844.54000000,846.66000000,843.99000000
845.18000000,845.80000000,844.53000000
845.21000000,845.92000000,844.62000000
845.12000000,845.54000000,843.90000000
843.86000000,845.50000000,843.35000000
843.82000000,845.09000000,843.69000000
843.62000000,844.53000000,843.61000000
843.56000000,844.19000000,843.12000000
843.75000000,844.42000000,843.56000000
844.51000000,844.85000000,843.51000000
845.40000000,845.51000000,844.48000000
846.52000000,846.97000000,844.70000000
846.37000000,846.80000000,845.99000000
847.61000000,847.83000000,846.28000000
846.81000000,847.78000000,846.73000000
847.00000000,847.73000000,846.59000000
848.43000000,848.68000000,846.99000000
849.11000000,849.12000000,848.28000000
848.52000000,849.12000000,847.66000000
849.18000000,849.28000000,848.51000000
849.01000000,849.18000000,848.89000000
848.88000000,849.48000000,848.56000000
849.10000000,849.28000000,848.79000000
847.75000000,849.39000000,847.39000000
846.55000000,848.13000000,846.55000000
848.90000000,848.96000000,846.52000000
848.27000000,849.41000000,848.12000000
848.30000000,848.35000000,847.93000000
847.61000000,848.30000000,847.60000000
847.39000000,847.87000000,846.86000000
847.49000000,848.14000000,847.24000000
846.65000000,847.56000000,846.56000000
847.20000000,847.51000000,846.46000000
845.99000000,847.21000000,845.54000000
845.57000000,846.11000000,845.55000000
846.67000000,846.67000000,845.57000000
846.60000000,847.32000000,846.50000000
847.26000000,847.29000000,846.28000000
846.99000000,847.71000000,846.94000000
847.60000000,847.60000000,846.29000000
847.93000000,847.94000000,847.42000000
846.11000000,848.36000000,845.81000000
847.78000000,848.10000000,846.10000000
847.64000000,847.77000000,846.99000000
847.78000000,847.97000000,847.44000000
847.79000000,848.14000000,847.69000000
847.78000000,848.00000000,847.36000000
848.06000000,848.12000000,847.06000000
848.27000000,848.66000000,848.06000000
848.99000000,849.51000000,848.20000000
847.09000000,849.99000000,846.86000000
846.24000000,847.30000000,846.24000000
845.86000000,846.46000000,844.39000000
845.14000000,847.31000000,844.85000000
844.71000000,846.17000000,844.05000000
850.00000000,850.39000000,843.60000000
846.73000000,850.73000000,846.54000000
846.11000000,846.99000000,845.49000000
848.29000000,848.84000000,846.11000000
848.54000000,848.60000000,847.52000000
849.13000000,849.13000000,847.77000000
850.67000000,850.81000000,848.13000000
848.60000000,855.00000000,847.88000000
847.83000000,848.98000000,845.00000000
846.61000000,848.60000000,845.90000000
846.51000000,847.95000000,844.75000000
846.69000000,847.74000000,846.20000000
846.11000000,846.80000000,845.60000000
845.45000000,846.32000000,844.44000000
846.26000000,846.73000000,845.31000000
846.60000000,846.70000000,845.70000000
848.60000000,849.00000000,845.95000000
850.26000000,850.32000000,848.10000000
851.01000000,851.20000000,849.60000000
850.26000000,851.39000000,850.01000000
850.12000000,850.64000000,849.62000000
850.17000000,850.71000000,849.80000000
852.52000000,853.35000000,849.86000000
850.81000000,853.27000000,850.69000000
851.60000000,851.80000000,850.33000000
849.80000000,851.72000000,849.70000000
848.74000000,849.88000000,848.74000000
848.28000000,848.77000000,847.40000000
848.94000000,849.24000000,848.20000000
849.66000000,850.59000000,848.40000000
849.22000000,850.20000000,849.22000000
849.01000000,850.10000000,849.01000000
849.31000000,849.95000000,848.33000000
847.31000000,849.57000000,847.29000000
843.97000000,847.86000000,843.73000000
846.12000000,846.99000000,843.96000000
845.65000000,846.52000000,844.90000000
846.61000000,846.99000000,843.60000000
848.04000000,848.44000000,846.43000000
844.95000000,849.14000000,844.95000000
846.00000000,846.97000000,844.96000000
845.69000000,846.39000000,845.49000000
846.38000000,846.39000000,845.67000000
847.47000000,848.52000000,846.00000000
847.76000000,848.00000000,847.21000000
848.04000000,849.40000000,847.75000000
847.43000000,848.44000000,847.00000000
847.52000000,848.50000000,847.30000000
848.18000000,848.28000000,847.32000000
848.00000000,848.48000000,847.36000000
850.70000000,851.00000000,848.01000000
849.33000000,850.71000000,849.24000000
850.13000000,850.52000000,849.33000000
850.18000000,850.60000000,849.56000000
849.93000000,850.28000000,849.61000000
851.39000000,851.69000000,849.75000000
852.41000000,852.73000000,851.32000000
851.93000000,852.66000000,851.54000000
853.04000000,853.29000000,851.43000000
856.10000000,857.30000000,853.04000000
857.12000000,857.15000000,855.51000000
857.65000000,857.65000000,856.27000000
855.52000000,857.99000000,855.44000000
856.15000000,856.58000000,855.52000000
855.92000000,857.31000000,855.54000000
854.78000000,856.24000000,854.55000000
855.96000000,856.40000000,854.23000000
857.60000000,857.73000000,855.78000000
859.19000000,859.19000000,857.39000000
858.42000000,859.22000000,858.16000000
859.13000000,859.36000000,858.03000000
858.87000000,860.98000000,858.84000000
860.17000000,860.69000000,858.86000000
861.42000000,861.47000000,860.05000000
860.65000000,862.33000000,860.45000000
860.44000000,860.65000000,859.65000000
858.76000000,860.49000000,858.76000000
858.75000000,858.88000000,857.54000000
858.38000000,858.77000000,858.10000000
857.61000000,858.39000000,857.60000000
857.68000000,857.88000000,857.48000000
857.33000000,858.40000000,856.55000000
857.30000000,858.20000000,857.19000000
856.70000000,857.37000000,856.70000000
856.06000000,856.70000000,856.06000000
855.89000000,856.35000000,855.89000000
855.53000000,856.09000000,855.41000000
854.84000000,855.53000000,854.24000000
855.85000000,856.11000000,854.83000000
856.52000000,857.19000000,855.84000000
855.80000000,856.83000000,855.61000000
855.92000000,856.45000000,855.67000000
855.89000000,856.10000000,855.79000000
855.95000000,856.19000000,855.47000000
855.77000000,856.18000000,855.49000000
856.09000000,856.62000000,855.76000000
856.61000000,856.71000000,856.06000000
856.28000000,856.73000000,856.14000000
856.32000000,856.64000000,856.13000000
856.28000000,856.32000000,855.93000000
855.40000000,856.28000000,854.92000000
855.24000000,855.43000000,854.72000000
854.87000000,855.61000000,854.77000000
855.43000000,855.46000000,854.71000000
855.99000000,856.00000000,855.10000000
856.22000000,856.48000000,855.99000000
855.71000000,856.22000000,855.49000000
855.27000000,855.71000000,855.11000000
856.56000000,856.73000000,855.27000000
856.78000000,857.13000000,856.51000000
856.47000000,856.79000000,856.18000000
856.17000000,856.47000000,856.16000000
855.39000000,856.54000000,855.05000000
855.21000000,855.49000000,855.00000000
855.77000000,856.27000000,855.16000000
855.83000000,856.01000000,855.60000000
856.76000000,856.77000000,855.76000000
856.92000000,857.10000000,856.16000000
856.76000000,856.90000000,855.76000000
855.83000000,856.76000000,855.63000000
855.63000000,855.81000000,855.54000000
855.22000000,855.83000000,855.06000000
853.95000000,855.27000000,853.76000000
854.26000000,854.55000000,853.96000000
853.13000000,854.31000000,853.12000000
853.69000000,853.70000000,852.83000000
853.39000000,853.69000000,853.38000000
853.20000000,854.04000000,852.87000000
853.31000000,853.44000000,852.74000000
853.04000000,853.86000000,852.85000000
853.29000000,853.30000000,852.81000000
853.11000000,853.63000000,853.01000000
852.72000000,853.11000000,852.71000000
853.21000000,853.35000000,852.71000000
852.76000000,853.27000000,852.75000000
852.78000000,852.87000000,852.39000000
852.72000000,853.05000000,852.59000000
852.89000000,853.20000000,852.71000000
853.12000000,853.33000000,852.81000000
854.52000000,854.52000000,853.12000000
853.90000000,854.52000000,853.89000000
854.56000000,854.64000000,853.84000000
855.51000000,855.51000000,854.47000000
855.40000000,855.79000000,855.18000000
856.76000000,856.90000000,855.38000000
856.10000000,856.75000000,855.83000000
856.10000000,856.14000000,855.86000000
855.80000000,856.10000000,855.79000000
856.61000000,856.77000000,855.79000000
856.79000000,857.32000000,856.61000000
856.27000000,856.91000000,855.84000000
856.27000000,856.60000000,856.26000000
857.07000000,857.07000000,856.26000000
857.67000000,857.67000000,857.06000000
858.92000000,859.70000000,857.61000000
