close,high,low
91714.29000000,92221.01000000,91624.50000000
90866.01000000,91750.00000000,90687.42000000
90842.72000000,90927.69000000,89700.00000000
90081.90000000,90851.66000000,89253.78000000
90221.33000000,90469.14000000,89719.63000000
89651.30000000,90233.16000000,89371.12000000
90512.10000000,90555.88000000,89337.39000000
91220.00000000,91440.00000000,90509.79000000
91400.01000000,91487.58000000,90889.93000000
91585.02000000,91617.17000000,91256.80000000
91517.82000000,91615.43000000,91247.56000000
91518.54000000,91878.11000000,91110.00000000
91476.56000000,91659.94000000,90905.70000000
91359.29000000,92450.23000000,91206.52000000
92910.10000000,93049.91000000,91010.00000000
93499.16000000,93836.01000000,92579.23000000
93256.92000000,93657.15000000,92821.26000000
93331.08000000,93766.00000000,93151.04000000
93195.61000000,93612.00000000,92994.88000000
92783.36000000,93298.00000000,92657.25000000
92491.59000000,93030.00000000,92462.72000000
93160.00000000,93423.74000000,92491.59000000
92960.83000000,93163.34000000,92727.27000000
92416.51000000,92980.22000000,91929.86000000
92439.99000000,92644.49000000,91935.03000000
92569.12000000,92865.24000000,92280.00000000
91874.52000000,92636.00000000,91660.49000000
91163.20000000,91976.12000000,91163.19000000
90459.99000000,91267.73000000,90025.06000000
90990.87000000,91104.00000000,90282.83000000
91863.64000000,92028.92000000,90948.37000000
91470.44000000,91950.00000000,91287.34000000
91513.72000000,91513.72000000,91072.41000000
91314.75000000,91700.55000000,91225.98000000
91410.22000000,91782.04000000,91312.00000000
91780.00000000,91879.85000000,91220.00000000
91405.02000000,91900.00000000,91228.82000000
91713.44000000,91857.30000000,91037.50000000
89951.70000000,92384.61000000,89880.00000000
89905.78000000,90232.56000000,89453.88000000
89500.01000000,90133.33000000,88889.00000000
89237.83000000,89744.51000000,88792.00000000
88884.56000000,89384.27000000,88630.71000000
89516.91000000,89704.39000000,88608.00000000
90600.68000000,90850.00000000,89450.01000000
90480.56000000,90635.58000000,90101.14000000
91554.96000000,91594.00000000,90480.56000000
91891.32000000,92300.00000000,91185.26000000
92590.13000000,92716.44000000,91820.01000000
92592.84000000,92798.14000000,92322.04000000
