open,high,low,close,volume
87697.98000000,87722.00000000,87605.35000000,87605.35000000,35.04637000
87605.36000000,87673.41000000,87591.59000000,87673.41000000,32.66042000
87673.40000000,87680.98000000,87630.32000000,87664.22000000,27.01419000
87664.21000000,87774.25000000,87553.84000000,87764.81000000,59.74893000
87764.82000000,87828.00000000,87740.01000000,87822.12000000,22.72218000
87822.12000000,87948.41000000,87790.17000000,87933.14000000,31.93335000
87933.14000000,88031.68000000,87929.32000000,88031.67000000,23.71067000
88031.67000000,88137.18000000,87953.28000000,88133.33000000,58.45340000
88133.33000000,88133.33000000,88020.00000000,88066.90000000,57.90838000
88066.89000000,88100.00000000,87950.00000000,87996.09000000,32.80155000
87996.10000000,88072.98000000,87969.06000000,88031.81000000,33.86560000
88031.80000000,88250.00000000,88025.30000000,88249.48000000,72.92659000
88249.48000000,88328.00000000,88190.69000000,88258.26000000,43.29780000
88258.26000000,88267.99000000,88143.21000000,88161.28000000,18.98974000
88161.27000000,88278.74000000,88140.00000000,88234.28000000,33.12095000
88231.45000000,88519.99000000,88221.76000000,88479.35000000,117.55510000
88479.35000000,88479.35000000,88341.13000000,88341.14000000,34.73920000
88341.14000000,88341.14000000,88302.52000000,88326.55000000,30.25851000
88326.54000000,88326.55000000,88210.01000000,88217.52000000,58.12407000
88217.52000000,88259.99000000,88168.72000000,88184.61000000,41.20678000
88184.61000000,88205.58000000,88110.00000000,88167.30000000,33.83871000
88167.31000000,88167.31000000,88093.29000000,88106.94000000,26.99921000
88106.94000000,88106.94000000,87937.46000000,88005.95000000,57.97726000
88005.96000000,88198.00000000,88000.00000000,88161.71000000,26.94702000
88161.70000000,88222.96000000,88160.06000000,88222.96000000,18.16291000
88222.96000000,88222.96000000,88141.15000000,88208.34000000,30.73103000
88208.35000000,88224.82000000,88142.02000000,88175.89000000,20.61399000
88175.89000000,88247.33000000,88168.81000000,88190.72000000,19.00356000
88190.72000000,88190.72000000,88080.51000000,88120.82000000,22.11279000
88120.83000000,88129.09000000,88040.00000000,88129.09000000,33.88311000
88129.49000000,88145.71000000,88052.32000000,88141.44000000,38.37849000
88141.43000000,88149.01000000,88070.35000000,88083.97000000,20.55579000
88083.98000000,88124.00000000,88007.58000000,88110.97000000,30.50113000
88110.96000000,88110.97000000,88007.08000000,88047.19000000,25.18855000
88047.19000000,88047.19000000,87927.68000000,87944.06000000,25.59370000
87944.05000000,87979.18000000,87881.63000000,87970.88000000,47.45077000
87970.88000000,87999.54000000,87902.99000000,87903.00000000,15.45028000
87903.00000000,87982.43000000,87842.00000000,87880.01000000,32.42093000
87880.01000000,87947.67000000,87827.64000000,87830.61000000,43.64786000
87830.60000000,87911.34000000,87802.09000000,87875.30000000,37.43675000
87875.31000000,88064.24000000,87875.30000000,88003.97000000,77.53384000
88003.97000000,88003.97000000,87909.82000000,87909.82000000,30.90453000
87909.82000000,88017.01000000,87866.61000000,88001.25000000,32.34116000
88001.24000000,88069.96000000,87964.91000000,88022.00000000,20.65423000
88022.01000000,88022.01000000,87840.63000000,87869.46000000,96.23120000
87869.46000000,87940.00000000,87812.94000000,87824.86000000,120.21923000
87824.85000000,87824.85000000,87684.79000000,87699.78000000,135.13878000
87699.77000000,87769.99000000,87635.43000000,87635.43000000,137.05929000
87635.43000000,87720.42000000,87614.88000000,87705.19000000,50.08419000
87705.19000000,87788.00000000,87689.53000000,87702.78000000,42.11621000
87702.77000000,87756.61000000,87604.62000000,87612.27000000,60.76876000
87612.27000000,87738.06000000,87300.00000000,87399.09000000,750.66015000
87399.08000000,87428.87000000,87300.00000000,87384.81000000,183.10775000
87384.81000000,87460.00000000,87341.70000000,87371.42000000,87.60972000
87371.41000000,87476.80000000,87371.41000000,87443.80000000,45.69810000
87443.80000000,87458.28000000,87348.00000000,87408.09000000,76.01410000
87408.10000000,87538.46000000,87408.10000000,87497.73000000,69.73758000
87497.72000000,87606.57000000,87497.72000000,87503.54000000,48.66130000
87503.54000000,87558.55000000,87441.10000000,87532.36000000,51.50331000
87532.37000000,87552.64000000,87363.80000000,87464.37000000,48.72418000
87464.38000000,87472.26000000,87347.82000000,87347.82000000,54.92171000
87347.82000000,87415.81000000,87343.65000000,87403.20000000,69.37144000
87403.21000000,87417.85000000,87187.75000000,87236.14000000,159.59280000
87236.15000000,87285.12000000,87135.25000000,87135.47000000,109.86196000
87135.47000000,87135.48000000,86993.20000000,87009.82000000,208.38973000
