openTime,close,high,low
1766125200000,86913.86000000,87076.29000000,86913.83000000
1766125500000,87017.18000000,87030.00000000,86913.86000000
1766125800000,86995.48000000,87017.18000000,86960.00000000
1766126100000,87018.06000000,87112.56000000,86995.47000000
1766126400000,87124.10000000,87124.11000000,87017.45000000
1766126700000,87109.97000000,87144.95000000,87087.45000000
1766127000000,87199.99000000,87199.99000000,87074.31000000
1766127300000,87483.41000000,87484.00000000,87199.99000000
1766127600000,87744.81000000,87850.00000000,87473.53000000
1766127900000,88017.65000000,88045.00000000,87744.80000000
1766128200000,88150.41000000,88449.06000000,87942.83000000
1766128500000,87984.90000000,88233.94000000,87827.83000000
1766128800000,87816.68000000,88016.52000000,87816.67000000
1766129100000,87938.38000000,87972.74000000,87816.67000000
1766129400000,87757.26000000,87973.60000000,87724.28000000
1766129700000,87854.74000000,87914.72000000,87757.25000000
1766130000000,87790.29000000,87878.94000000,87789.72000000
1766130300000,87806.34000000,87874.04000000,87774.74000000
1766130600000,87931.60000000,87974.00000000,87806.34000000
1766130900000,87953.40000000,88000.98000000,87920.00000000
1766131200000,87872.04000000,88026.50000000,87872.03000000
1766131500000,88046.86000000,88135.08000000,87859.76000000
1766131800000,87966.96000000,88128.78000000,87930.95000000
1766132100000,87905.74000000,88016.73000000,87899.99000000
1766132400000,87859.76000000,87970.29000000,87859.76000000
1766132700000,87742.60000000,87915.04000000,87742.60000000
1766133000000,88076.61000000,88112.70000000,87742.60000000
1766133300000,87973.84000000,88177.33000000,87968.23000000
1766133600000,87938.08000000,88028.02000000,87903.19000000
1766133900000,88099.99000000,88127.50000000,87930.74000000
1766134200000,88205.52000000,88220.87000000,88095.58000000
1766134500000,88102.78000000,88222.00000000,88102.78000000
1766134800000,87981.59000000,88112.90000000,87977.26000000
1766135100000,87985.93000000,88058.15000000,87961.59000000
1766135400000,87942.61000000,88031.44000000,87941.51000000
1766135700000,88020.69000000,88031.44000000,87898.36000000
1766136000000,87997.56000000,88031.00000000,87965.37000000
1766136300000,88028.23000000,88088.51000000,87974.89000000
1766136600000,88002.05000000,88165.27000000,87976.33000000
1766136900000,88014.80000000,88063.43000000,87952.13000000
1766137200000,88029.91000000,88048.79000000,87982.28000000
1766137500000,88000.00000000,88063.43000000,87987.67000000
1766137800000,88063.43000000,88095.24000000,87999.99000000
1766138100000,88105.03000000,88105.04000000,88051.46000000
1766138400000,88296.82000000,88300.50000000,88078.98000000
1766138700000,88059.84000000,88296.83000000,88036.75000000
1766139000000,88185.37000000,88185.37000000,88058.54000000
1766139300000,88165.26000000,88249.99000000,88135.86000000
1766139600000,88012.95000000,88178.49000000,87950.00000000
1766139900000,87955.83000000,88063.43000000,87921.41000000
1766140200000,87955.93000000,88009.24000000,87933.12000000
1766140500000,87998.28000000,88002.00000000,87955.92000000
1766140800000,88065.02000000,88132.06000000,87998.28000000
1766141100000,88188.24000000,88341.29000000,88065.02000000
1766141400000,88281.55000000,88313.07000000,88154.79000000
1766141700000,88267.09000000,88302.72000000,88248.79000000
1766142000000,88221.38000000,88341.62000000,88187.01000000
1766142300000,88153.66000000,88228.74000000,88139.57000000
1766142600000,88337.97000000,88385.06000000,88138.51000000
1766142900000,88197.52000000,88379.43000000,88191.95000000
1766143200000,88198.74000000,88350.00000000,88181.74000000
1766143500000,88281.59000000,88331.01000000,88180.00000000
1766143800000,88342.00000000,88362.37000000,88266.30000000
1766144100000,88239.99000000,88349.17000000,88165.26000000
1766144400000,88287.73000000,88300.00000000,88237.78000000
1766144700000,88303.13000000,88315.55000000,88281.00000000
1766145000000,88246.39000000,88324.86000000,88225.80000000
1766145300000,88198.70000000,88249.61000000,88185.48000000
1766145600000,88066.93000000,88252.02000000,88012.00000000
1766145900000,87973.31000000,88100.78000000,87886.90000000
1766146200000,88203.02000000,88256.91000000,87951.75000000
1766146500000,88075.80000000,88280.06000000,88057.59000000
1766146800000,88018.48000000,88097.00000000,88000.00000000
1766147100000,88017.23000000,88061.77000000,87995.90000000
1766147400000,88030.80000000,88080.00000000,87961.59000000
1766147700000,87993.61000000,88063.43000000,87986.41000000
1766148000000,88046.81000000,88048.03000000,87981.94000000
1766148300000,88131.41000000,88147.27000000,88046.81000000
1766148600000,87918.30000000,88131.42000000,87847.13000000
1766148900000,87855.92000000,87991.24000000,87846.03000000
1766149200000,87979.99000000,88017.96000000,87855.91000000
1766149500000,87946.30000000,88047.53000000,87944.40000000
1766149800000,88002.05000000,88018.14000000,87889.45000000
1766150100000,87985.22000000,88050.00000000,87943.54000000
1766150400000,88000.68000000,88056.98000000,87906.89000000
1766150700000,88041.52000000,88054.77000000,87994.60000000
1766151000000,87913.57000000,88096.23000000,87825.19000000
1766151300000,88111.18000000,88220.41000000,87913.56000000
1766151600000,88112.33000000,88148.82000000,88028.53000000
1766151900000,88026.39000000,88112.33000000,87988.77000000
1766152200000,88001.68000000,88055.74000000,87954.54000000
1766152500000,87997.14000000,88014.01000000,87895.01000000
1766152800000,88068.40000000,88084.06000000,87919.01000000
1766153100000,88115.26000000,88133.85000000,88064.87000000
1766153400000,88157.20000000,88213.61000000,88068.72000000
1766153700000,88018.99000000,88357.33000000,87980.14000000
1766154000000,87998.05000000,88086.02000000,87976.00000000
1766154300000,88032.38000000,88109.70000000,87850.00000000
1766154600000,87758.81000000,88135.04000000,87688.33000000
1766154900000,87683.05000000,87914.84000000,87585.31000000
1766155200000,88501.78000000,88552.17000000,87514.59000000
1766155500000,88196.87000000,88537.15000000,88125.27000000
1766155800000,87933.61000000,88218.34000000,87909.03000000
1766156100000,88180.01000000,88227.77000000,87920.59000000
1766156400000,88086.05000000,88279.78000000,87962.30000000
1766156700000,88269.26000000,88277.31000000,88000.00000000
1766157000000,88762.41000000,88833.84000000,88190.00000000
1766157300000,88638.69000000,89399.97000000,88555.97000000
1766157600000,88475.18000000,88780.01000000,88142.85000000
1766157900000,88192.12000000,88533.21000000,88063.42000000
1766158200000,88228.22000000,88330.06000000,87925.46000000
1766158500000,88202.00000000,88410.00000000,88101.01000000
1766158800000,88039.69000000,88218.58000000,87959.99000000
1766159100000,87800.01000000,88069.58000000,87692.77000000
1766159400000,87946.40000000,88010.02000000,87800.00000000
1766159700000,87951.87000000,88009.11000000,87801.53000000
1766160000000,88298.87000000,88319.39000000,87881.92000000
1766160300000,88346.76000000,88464.00000000,88180.38000000
1766160600000,88380.00000000,88500.00000000,88314.00000000
1766160900000,88284.07000000,88451.66000000,88284.07000000
1766161200000,88312.19000000,88433.99000000,88258.64000000
1766161500000,88418.12000000,88469.22000000,88312.19000000
1766161800000,88736.40000000,88882.55000000,88365.19000000
1766162100000,88500.00000000,88850.00000000,88500.00000000
1766162400000,88509.94000000,88578.00000000,88405.98000000
1766162700000,88300.00000000,88528.68000000,88292.96000000
1766163000000,88100.01000000,88313.56000000,88092.00000000
1766163300000,87983.25000000,88106.88000000,87872.91000000
1766163600000,87924.33000000,88119.98000000,87895.56000000
1766163900000,88217.62000000,88303.21000000,87888.25000000
1766164200000,88089.14000000,88257.40000000,88089.14000000
1766164500000,88181.99000000,88346.96000000,88088.00000000
1766164800000,88052.80000000,88267.10000000,88013.80000000
1766165100000,87609.86000000,88080.00000000,87578.62000000
1766165400000,87025.61000000,87717.68000000,86912.58000000
1766165700000,87299.98000000,87427.80000000,87025.60000000
1766166000000,87117.72000000,87299.98000000,86991.98000000
1766166300000,87253.05000000,87321.41000000,86873.14000000
1766166600000,87273.42000000,87452.43000000,87202.69000000
1766166900000,86943.25000000,87375.99000000,86943.25000000
1766167200000,87059.56000000,87138.10000000,86846.16000000
1766167500000,87116.95000000,87160.00000000,87029.42000000
1766167800000,87193.50000000,87248.76000000,87100.00000000
1766168100000,87300.00000000,87357.14000000,87066.25000000
1766168400000,87264.74000000,87407.40000000,87248.75000000
1766168700000,87335.02000000,87466.09000000,87264.73000000
1766169000000,87121.66000000,87359.73000000,87076.92000000
1766169300000,87050.30000000,87180.00000000,87050.30000000
1766169600000,87018.92000000,87102.76000000,86939.29000000
