close,high,low
86913.86000000,87076.29000000,86913.83000000
87017.18000000,87030.00000000,86913.86000000
86995.48000000,87017.18000000,86960.00000000
87018.06000000,87112.56000000,86995.47000000
87124.10000000,87124.11000000,87017.45000000
87109.97000000,87144.95000000,87087.45000000
87199.99000000,87199.99000000,87074.31000000
87483.41000000,87484.00000000,87199.99000000
87744.81000000,87850.00000000,87473.53000000
88017.65000000,88045.00000000,87744.80000000
88150.41000000,88449.06000000,87942.83000000
87984.90000000,88233.94000000,87827.83000000
87816.68000000,88016.52000000,87816.67000000
87938.38000000,87972.74000000,87816.67000000
87757.26000000,87973.60000000,87724.28000000
87854.74000000,87914.72000000,87757.25000000
87790.29000000,87878.94000000,87789.72000000
87806.34000000,87874.04000000,87774.74000000
87931.60000000,87974.00000000,87806.34000000
87953.40000000,88000.98000000,87920.00000000
87872.04000000,88026.50000000,87872.03000000
88046.86000000,88135.08000000,87859.76000000
87966.96000000,88128.78000000,87930.95000000
87905.74000000,88016.73000000,87899.99000000
87859.76000000,87970.29000000,87859.76000000
87742.60000000,87915.04000000,87742.60000000
88076.61000000,88112.70000000,87742.60000000
87973.84000000,88177.33000000,87968.23000000
87938.08000000,88028.02000000,87903.19000000
88099.99000000,88127.50000000,87930.74000000
88205.52000000,88220.87000000,88095.58000000
88102.78000000,88222.00000000,88102.78000000
87981.59000000,88112.90000000,87977.26000000
87985.93000000,88058.15000000,87961.59000000
87942.61000000,88031.44000000,87941.51000000
88020.69000000,88031.44000000,87898.36000000
87997.56000000,88031.00000000,87965.37000000
88028.23000000,88088.51000000,87974.89000000
88002.05000000,88165.27000000,87976.33000000
88014.80000000,88063.43000000,87952.13000000
88029.91000000,88048.79000000,87982.28000000
88000.00000000,88063.43000000,87987.67000000
88063.43000000,88095.24000000,87999.99000000
88105.03000000,88105.04000000,88051.46000000
88296.82000000,88300.50000000,88078.98000000
88059.84000000,88296.83000000,88036.75000000
88185.37000000,88185.37000000,88058.54000000
88165.26000000,88249.99000000,88135.86000000
88012.95000000,88178.49000000,87950.00000000
87955.83000000,88063.43000000,87921.41000000
87955.93000000,88009.24000000,87933.12000000
87998.28000000,88002.00000000,87955.92000000
88065.02000000,88132.06000000,87998.28000000
88188.24000000,88341.29000000,88065.02000000
88281.55000000,88313.07000000,88154.79000000
88267.09000000,88302.72000000,88248.79000000
88221.38000000,88341.62000000,88187.01000000
88153.66000000,88228.74000000,88139.57000000
88337.97000000,88385.06000000,88138.51000000
88197.52000000,88379.43000000,88191.95000000
88198.74000000,88350.00000000,88181.74000000
88281.59000000,88331.01000000,88180.00000000
88342.00000000,88362.37000000,88266.30000000
88239.99000000,88349.17000000,88165.26000000
88287.73000000,88300.00000000,88237.78000000
88303.13000000,88315.55000000,88281.00000000
88246.39000000,88324.86000000,88225.80000000
88198.70000000,88249.61000000,88185.48000000
88066.93000000,88252.02000000,88012.00000000
87973.31000000,88100.78000000,87886.90000000
88203.02000000,88256.91000000,87951.75000000
88075.80000000,88280.06000000,88057.59000000
88018.48000000,88097.00000000,88000.00000000
88017.23000000,88061.77000000,87995.90000000
88030.80000000,88080.00000000,87961.59000000
87993.61000000,88063.43000000,87986.41000000
88046.81000000,88048.03000000,87981.94000000
88131.41000000,88147.27000000,88046.81000000
87918.30000000,88131.42000000,87847.13000000
87855.92000000,87991.24000000,87846.03000000
87979.99000000,88017.96000000,87855.91000000
87946.30000000,88047.53000000,87944.40000000
88002.05000000,88018.14000000,87889.45000000
87985.22000000,88050.00000000,87943.54000000
88000.68000000,88056.98000000,87906.89000000
88041.52000000,88054.77000000,87994.60000000
87913.57000000,88096.23000000,87825.19000000
88111.18000000,88220.41000000,87913.56000000
88112.33000000,88148.82000000,88028.53000000
88026.39000000,88112.33000000,87988.77000000
88001.68000000,88055.74000000,87954.54000000
87997.14000000,88014.01000000,87895.01000000
88068.40000000,88084.06000000,87919.01000000
88115.26000000,88133.85000000,88064.87000000
88157.20000000,88213.61000000,88068.72000000
88018.99000000,88357.33000000,87980.14000000
87998.05000000,88086.02000000,87976.00000000
88032.38000000,88109.70000000,87850.00000000
87758.81000000,88135.04000000,87688.33000000
87683.05000000,87914.84000000,87585.31000000
88501.78000000,88552.17000000,87514.59000000
88196.87000000,88537.15000000,88125.27000000
87933.61000000,88218.34000000,87909.03000000
88180.01000000,88227.77000000,87920.59000000
88086.05000000,88279.78000000,87962.30000000
88269.26000000,88277.31000000,88000.00000000
88762.41000000,88833.84000000,88190.00000000
88638.69000000,89399.97000000,88555.97000000
88475.18000000,88780.01000000,88142.85000000
88192.12000000,88533.21000000,88063.42000000
88228.22000000,88330.06000000,87925.46000000
88202.00000000,88410.00000000,88101.01000000
88039.69000000,88218.58000000,87959.99000000
87800.01000000,88069.58000000,87692.77000000
87946.40000000,88010.02000000,87800.00000000
87951.87000000,88009.11000000,87801.53000000
88298.87000000,88319.39000000,87881.92000000
88346.76000000,88464.00000000,88180.38000000
88380.00000000,88500.00000000,88314.00000000
88284.07000000,88451.66000000,88284.07000000
88312.19000000,88433.99000000,88258.64000000
88418.12000000,88469.22000000,88312.19000000
88736.40000000,88882.55000000,88365.19000000
88500.00000000,88850.00000000,88500.00000000
88509.94000000,88578.00000000,88405.98000000
88300.00000000,88528.68000000,88292.96000000
88100.01000000,88313.56000000,88092.00000000
87983.25000000,88106.88000000,87872.91000000
87924.33000000,88119.98000000,87895.56000000
88217.62000000,88303.21000000,87888.25000000
