openTime,close,high,low
1763427600000,3017.59000000,3050.05000000,3014.04000000
1763431200000,2985.50000000,3045.04000000,2978.17000000
1763434800000,3023.97000000,3027.94000000,2946.56000000
1763438400000,3005.88000000,3025.18000000,2958.08000000
1763442000000,3012.13000000,3023.84000000,2984.09000000
1763445600000,2989.76000000,3015.48000000,2973.53000000
1763449200000,3024.44000000,3034.50000000,2977.33000000
1763452800000,3060.19000000,3068.00000000,3024.44000000
1763456400000,3060.50000000,3067.24000000,3028.39000000
1763460000000,3066.15000000,3072.21000000,3050.53000000
1763463600000,3058.01000000,3074.45000000,3052.44000000
1763467200000,3049.76000000,3066.09000000,3039.36000000
1763470800000,3048.34000000,3051.48000000,3022.09000000
1763474400000,3058.33000000,3092.64000000,3032.31000000
1763478000000,3106.87000000,3123.69000000,3034.00000000
1763481600000,3152.18000000,3168.91000000,3099.39000000
1763485200000,3135.36000000,3159.00000000,3120.08000000
1763488800000,3160.46000000,3169.95000000,3135.36000000
1763492400000,3146.02000000,3168.36000000,3135.59000000
1763496000000,3123.20000000,3150.43000000,3122.72000000
1763499600000,3098.25000000,3131.18000000,3097.21000000
1763503200000,3125.55000000,3129.77000000,3097.66000000
1763506800000,3123.66000000,3126.45000000,3107.56000000
1763510400000,3100.64000000,3124.17000000,3077.88000000
1763514000000,3105.10000000,3116.28000000,3085.26000000
1763517600000,3113.93000000,3125.54000000,3097.88000000
1763521200000,3073.02000000,3118.33000000,3069.59000000
1763524800000,3048.57000000,3076.83000000,3045.81000000
1763528400000,3017.56000000,3052.67000000,2992.23000000
1763532000000,3041.15000000,3045.03000000,3010.60000000
1763535600000,3084.96000000,3087.71000000,3039.25000000
1763539200000,3080.21000000,3100.31000000,3072.50000000
1763542800000,3088.24000000,3088.24000000,3053.55000000
1763546400000,3092.00000000,3112.55000000,3083.51000000
1763550000000,3083.51000000,3102.28000000,3077.54000000
1763553600000,3100.82000000,3108.76000000,3081.01000000
1763557200000,3067.36000000,3101.36000000,3057.76000000
1763560800000,3060.51000000,3070.26000000,3023.89000000
1763564400000,2973.16000000,3106.20000000,2967.00000000
1763568000000,2950.19000000,3000.00000000,2936.62000000
1763571600000,2922.85000000,2961.22000000,2900.00000000
1763575200000,2899.75000000,2929.68000000,2880.49000000
1763578800000,2881.66000000,2905.84000000,2873.64000000
1763582400000,2945.29000000,2957.32000000,2875.00000000
1763586000000,2991.66000000,3002.00000000,2939.13000000
1763589600000,2984.54000000,2992.42000000,2953.85000000
1763593200000,3025.48000000,3027.88000000,2984.54000000
1763596800000,3019.27000000,3049.14000000,3004.41000000
1763600400000,3047.51000000,3050.50000000,3018.80000000
1763604000000,3044.26000000,3058.00000000,3029.33000000
1763607600000,3038.98000000,3053.23000000,3037.27000000
1763611200000,3054.01000000,3055.00000000,3017.40000000
1763614800000,3035.38000000,3063.61000000,3032.98000000
1763618400000,3020.81000000,3042.50000000,3006.89000000
1763622000000,3039.43000000,3044.42000000,3015.50000000
1763625600000,3030.85000000,3044.75000000,3022.60000000
1763629200000,3011.39000000,3033.93000000,2995.52000000
1763632800000,3015.30000000,3020.86000000,2993.91000000
1763636400000,3023.98000000,3027.48000000,3002.00000000
1763640000000,3028.86000000,3033.00000000,3010.74000000
1763643600000,2999.81000000,3049.58000000,2996.28000000
1763647200000,3000.70000000,3022.70000000,2963.68000000
1763650800000,2955.68000000,3003.48000000,2952.39000000
1763654400000,2862.68000000,2961.28000000,2848.01000000
1763658000000,2833.66000000,2873.62000000,2807.35000000
1763661600000,2813.66000000,2860.64000000,2806.36000000
1763665200000,2847.90000000,2855.28000000,2790.01000000
1763668800000,2835.29000000,2856.54000000,2819.55000000
1763672400000,2879.65000000,2897.63000000,2834.63000000
1763676000000,2886.17000000,2905.93000000,2876.18000000
