close,high,low
3017.59000000,3050.05000000,3014.04000000
2985.50000000,3045.04000000,2978.17000000
3023.97000000,3027.94000000,2946.56000000
3005.88000000,3025.18000000,2958.08000000
3012.13000000,3023.84000000,2984.09000000
2989.76000000,3015.48000000,2973.53000000
3024.44000000,3034.50000000,2977.33000000
3060.19000000,3068.00000000,3024.44000000
3060.50000000,3067.24000000,3028.39000000
3066.15000000,3072.21000000,3050.53000000
3058.01000000,3074.45000000,3052.44000000
3049.76000000,3066.09000000,3039.36000000
3048.34000000,3051.48000000,3022.09000000
3058.33000000,3092.64000000,3032.31000000
3106.87000000,3123.69000000,3034.00000000
3152.18000000,3168.91000000,3099.39000000
3135.36000000,3159.00000000,3120.08000000
3160.46000000,3169.95000000,3135.36000000
3146.02000000,3168.36000000,3135.59000000
3123.20000000,3150.43000000,3122.72000000
3098.25000000,3131.18000000,3097.21000000
3125.55000000,3129.77000000,3097.66000000
3123.66000000,3126.45000000,3107.56000000
3100.64000000,3124.17000000,3077.88000000
3105.10000000,3116.28000000,3085.26000000
3113.93000000,3125.54000000,3097.88000000
3073.02000000,3118.33000000,3069.59000000
3048.57000000,3076.83000000,3045.81000000
3017.56000000,3052.67000000,2992.23000000
3041.15000000,3045.03000000,3010.60000000
3084.96000000,3087.71000000,3039.25000000
3080.21000000,3100.31000000,3072.50000000
3088.24000000,3088.24000000,3053.55000000
3092.00000000,3112.55000000,3083.51000000
3083.51000000,3102.28000000,3077.54000000
3100.82000000,3108.76000000,3081.01000000
3067.36000000,3101.36000000,3057.76000000
3060.51000000,3070.26000000,3023.89000000
2973.16000000,3106.20000000,2967.00000000
2950.19000000,3000.00000000,2936.62000000
2922.85000000,2961.22000000,2900.00000000
2899.75000000,2929.68000000,2880.49000000
2881.66000000,2905.84000000,2873.64000000
2945.29000000,2957.32000000,2875.00000000
2991.66000000,3002.00000000,2939.13000000
2984.54000000,2992.42000000,2953.85000000
3025.48000000,3027.88000000,2984.54000000
3019.27000000,3049.14000000,3004.41000000
3047.51000000,3050.50000000,3018.80000000
3044.26000000,3058.00000000,3029.33000000
3038.98000000,3053.23000000,3037.27000000
3054.01000000,3055.00000000,3017.40000000
3035.38000000,3063.61000000,3032.98000000
3020.81000000,3042.50000000,3006.89000000
3039.43000000,3044.42000000,3015.50000000
3030.85000000,3044.75000000,3022.60000000
3011.39000000,3033.93000000,2995.52000000
3015.30000000,3020.86000000,2993.91000000
3023.98000000,3027.48000000,3002.00000000
3028.86000000,3033.00000000,3010.74000000
2999.81000000,3049.58000000,2996.28000000
3000.70000000,3022.70000000,2963.68000000
2955.68000000,3003.48000000,2952.39000000
2862.68000000,2961.28000000,2848.01000000
2833.66000000,2873.62000000,2807.35000000
2813.66000000,2860.64000000,2806.36000000
2847.90000000,2855.28000000,2790.01000000
2835.29000000,2856.54000000,2819.55000000
2879.65000000,2897.63000000,2834.63000000
2886.17000000,2905.93000000,2876.18000000
2834.22000000,2891.54000000,2826.49000000
2861.08000000,2870.00000000,2832.56000000
2862.09000000,2886.73000000,2851.69000000
2782.67000000,2862.18000000,2772.84000000
2809.18000000,2826.00000000,2781.85000000
2818.89000000,2821.92000000,2782.75000000
2809.43000000,2832.66000000,2800.00000000
2790.20000000,2814.81000000,2780.36000000
2720.17000000,2801.21000000,2669.00000000
2737.89000000,2754.48000000,2706.35000000
2681.42000000,2748.50000000,2680.00000000
2696.80000000,2717.14000000,2663.01000000
2688.42000000,2722.98000000,2674.49000000
2727.59000000,2743.17000000,2623.57000000
2741.79000000,2769.61000000,2711.06000000
2770.35000000,2781.83000000,2718.65000000
2705.32000000,2778.93000000,2687.55000000
2762.80000000,2764.00000000,2675.00000000
2780.48000000,2806.84000000,2754.89000000
2779.15000000,2794.49000000,2716.49000000
2752.24000000,2787.96000000,2740.22000000
2737.86000000,2756.21000000,2708.55000000
2767.23000000,2777.01000000,2731.49000000
2721.88000000,2774.09000000,2720.72000000
2765.85000000,2769.80000000,2713.15000000
2766.35000000,2780.59000000,2758.21000000
2774.70000000,2784.12000000,2761.49000000
2752.84000000,2777.49000000,2739.76000000
2752.27000000,2757.73000000,2742.25000000
2747.27000000,2754.36000000,2726.66000000
