open,high,low,close,volume
2915.71000000,2916.50000000,2908.08000000,2908.84000000,1181.65460000
2908.84000000,2911.71000000,2906.83000000,2911.09000000,840.24260000
2911.09000000,2912.79000000,2909.44000000,2910.96000000,701.19580000
2910.96000000,2913.00000000,2904.39000000,2912.84000000,1631.45560000
2912.74000000,2913.80000000,2909.96000000,2911.99000000,326.62300000
2911.99000000,2913.59000000,2910.01000000,2913.16000000,649.37260000
2913.16000000,2922.69000000,2912.87000000,2920.80000000,1453.91730000
2920.79000000,2924.50000000,2918.00000000,2924.32000000,588.26760000
2924.31000000,2925.00000000,2921.00000000,2923.21000000,512.01890000
2923.22000000,2925.56000000,2918.99000000,2921.83000000,532.52150000
2921.84000000,2930.01000000,2920.81000000,2928.15000000,1232.47740000
2928.15000000,2935.45000000,2927.52000000,2935.45000000,1157.14820000
2935.45000000,2940.72000000,2931.49000000,2934.49000000,2338.82060000
2934.49000000,2934.90000000,2930.29000000,2931.92000000,441.48270000
2931.91000000,2934.49000000,2931.16000000,2933.28000000,419.76820000
2933.27000000,2943.03000000,2932.84000000,2941.46000000,1489.04220000
2941.46000000,2941.46000000,2937.56000000,2937.56000000,669.89350000
2937.57000000,2938.57000000,2934.67000000,2935.31000000,990.98510000
2935.31000000,2935.31000000,2928.89000000,2929.69000000,998.38820000
2929.69000000,2931.50000000,2928.47000000,2929.32000000,1147.68950000
2929.33000000,2931.56000000,2927.06000000,2931.56000000,530.44190000
2931.56000000,2931.76000000,2929.58000000,2930.41000000,305.43550000
2930.41000000,2930.41000000,2918.47000000,2921.62000000,2402.08010000
2921.62000000,2931.62000000,2921.21000000,2930.36000000,549.17510000
2930.36000000,2932.92000000,2929.75000000,2932.68000000,419.85000000
2932.68000000,2933.29000000,2929.73000000,2932.33000000,407.98000000
2932.33000000,2933.81000000,2930.44000000,2932.50000000,423.52220000
2932.49000000,2936.89000000,2932.23000000,2933.14000000,766.17850000
2933.14000000,2933.14000000,2928.60000000,2928.61000000,606.26150000
2928.61000000,2928.61000000,2924.93000000,2926.01000000,1196.55910000
2926.01000000,2926.91000000,2919.86000000,2926.90000000,1374.77760000
2926.90000000,2926.90000000,2922.70000000,2923.40000000,276.94890000
