openTime,close,high,low
1766125200000,2918.64000000,2921.64000000,2917.26000000
1766125500000,2922.72000000,2924.28000000,2918.64000000
1766125800000,2921.36000000,2922.72000000,2919.86000000
1766126100000,2921.62000000,2925.80000000,2921.14000000
1766126400000,2927.58000000,2928.21000000,2921.62000000
1766126700000,2925.39000000,2928.52000000,2925.32000000
1766127000000,2929.99000000,2930.00000000,2925.13000000
1766127300000,2948.01000000,2949.99000000,2929.99000000
1766127600000,2958.41000000,2961.24000000,2947.67000000
1766127900000,2971.47000000,2977.77000000,2958.32000000
1766128200000,2968.34000000,2984.33000000,2966.88000000
1766128500000,2961.00000000,2972.34000000,2953.46000000
1766128800000,2955.11000000,2961.64000000,2954.41000000
1766129100000,2955.14000000,2960.16000000,2953.42000000
1766129400000,2949.46000000,2958.73000000,2942.80000000
1766129700000,2954.24000000,2955.58000000,2948.39000000
1766130000000,2951.00000000,2954.96000000,2949.56000000
1766130300000,2949.94000000,2953.95000000,2948.80000000
1766130600000,2950.47000000,2953.73000000,2949.80000000
1766130900000,2951.73000000,2952.71000000,2949.84000000
1766131200000,2954.61000000,2957.75000000,2950.98000000
1766131500000,2960.49000000,2964.65000000,2953.40000000
1766131800000,2954.14000000,2963.47000000,2951.43000000
1766132100000,2953.36000000,2958.23000000,2952.81000000
1766132400000,2950.88000000,2955.90000000,2950.88000000
1766132700000,2940.75000000,2952.11000000,2939.36000000
1766133000000,2949.52000000,2951.00000000,2938.01000000
1766133300000,2948.81000000,2952.43000000,2946.06000000
1766133600000,2949.10000000,2951.31000000,2947.70000000
1766133900000,2951.47000000,2955.00000000,2948.81000000
1766134200000,2953.89000000,2955.00000000,2950.78000000
1766134500000,2950.90000000,2954.75000000,2950.90000000
1766134800000,2948.80000000,2951.63000000,2946.24000000
1766135100000,2952.04000000,2953.87000000,2948.79000000
1766135400000,2950.66000000,2954.50000000,2950.66000000
1766135700000,2952.08000000,2952.61000000,2948.60000000
1766136000000,2951.80000000,2953.40000000,2950.45000000
1766136300000,2955.22000000,2956.55000000,2951.15000000
1766136600000,2950.52000000,2960.44000000,2950.51000000
1766136900000,2950.99000000,2952.91000000,2948.80000000
1766137200000,2953.12000000,2953.30000000,2949.75000000
1766137500000,2951.80000000,2953.65000000,2950.59000000
1766137800000,2954.26000000,2956.27000000,2951.80000000
1766138100000,2955.23000000,2955.87000000,2951.97000000
1766138400000,2962.26000000,2964.65000000,2954.94000000
1766138700000,2951.63000000,2962.25000000,2950.29000000
1766139000000,2957.26000000,2957.47000000,2951.56000000
1766139300000,2955.28000000,2959.47000000,2953.96000000
1766139600000,2954.70000000,2956.21000000,2952.83000000
1766139900000,2952.90000000,2957.38000000,2951.56000000
1766140200000,2949.38000000,2953.00000000,2949.37000000
1766140500000,2949.68000000,2950.80000000,2949.00000000
1766140800000,2952.26000000,2953.00000000,2949.27000000
1766141100000,2952.69000000,2955.29000000,2952.09000000
1766141400000,2955.53000000,2955.94000000,2952.41000000
1766141700000,2954.33000000,2956.24000000,2953.51000000
1766142000000,2952.12000000,2955.41000000,2950.50000000
1766142300000,2950.86000000,2954.00000000,2950.52000000
1766142600000,2960.01000000,2961.77000000,2950.31000000
1766142900000,2957.20000000,2960.00000000,2956.07000000
1766143200000,2957.50000000,2963.62000000,2955.28000000
