close,high,low
2918.64000000,2921.64000000,2917.26000000
2922.72000000,2924.28000000,2918.64000000
2921.36000000,2922.72000000,2919.86000000
2921.62000000,2925.80000000,2921.14000000
2927.58000000,2928.21000000,2921.62000000
2925.39000000,2928.52000000,2925.32000000
2929.99000000,2930.00000000,2925.13000000
2948.01000000,2949.99000000,2929.99000000
2958.41000000,2961.24000000,2947.67000000
2971.47000000,2977.77000000,2958.32000000
2968.34000000,2984.33000000,2966.88000000
2961.00000000,2972.34000000,2953.46000000
2955.11000000,2961.64000000,2954.41000000
2955.14000000,2960.16000000,2953.42000000
2949.46000000,2958.73000000,2942.80000000
2954.24000000,2955.58000000,2948.39000000
2951.00000000,2954.96000000,2949.56000000
2949.94000000,2953.95000000,2948.80000000
2950.47000000,2953.73000000,2949.80000000
2951.73000000,2952.71000000,2949.84000000
2954.61000000,2957.75000000,2950.98000000
2960.49000000,2964.65000000,2953.40000000
2954.14000000,2963.47000000,2951.43000000
2953.36000000,2958.23000000,2952.81000000
2950.88000000,2955.90000000,2950.88000000
2940.75000000,2952.11000000,2939.36000000
2949.52000000,2951.00000000,2938.01000000
2948.81000000,2952.43000000,2946.06000000
2949.10000000,2951.31000000,2947.70000000
2951.47000000,2955.00000000,2948.81000000
2953.89000000,2955.00000000,2950.78000000
2950.90000000,2954.75000000,2950.90000000
2948.80000000,2951.63000000,2946.24000000
2952.04000000,2953.87000000,2948.79000000
2950.66000000,2954.50000000,2950.66000000
2952.08000000,2952.61000000,2948.60000000
2951.80000000,2953.40000000,2950.45000000
2955.22000000,2956.55000000,2951.15000000
2950.52000000,2960.44000000,2950.51000000
2950.99000000,2952.91000000,2948.80000000
2953.12000000,2953.30000000,2949.75000000
2951.80000000,2953.65000000,2950.59000000
2954.26000000,2956.27000000,2951.80000000
2955.23000000,2955.87000000,2951.97000000
2962.26000000,2964.65000000,2954.94000000
2951.63000000,2962.25000000,2950.29000000
2957.26000000,2957.47000000,2951.56000000
2955.28000000,2959.47000000,2953.96000000
2954.70000000,2956.21000000,2952.83000000
2952.90000000,2957.38000000,2951.56000000
2949.38000000,2953.00000000,2949.37000000
2949.68000000,2950.80000000,2949.00000000
2952.26000000,2953.00000000,2949.27000000
2952.69000000,2955.29000000,2952.09000000
2955.53000000,2955.94000000,2952.41000000
2954.33000000,2956.24000000,2953.51000000
2952.12000000,2955.41000000,2950.50000000
2950.86000000,2954.00000000,2950.52000000
2960.01000000,2961.77000000,2950.31000000
2957.20000000,2960.00000000,2956.07000000
2957.50000000,2963.62000000,2955.28000000
2963.08000000,2964.39000000,2957.13000000
2970.20000000,2970.99000000,2962.23000000
2964.41000000,2970.97000000,2961.52000000
2969.68000000,2970.61000000,2964.41000000
2969.41000000,2970.76000000,2968.51000000
2965.96000000,2971.57000000,2963.87000000
2964.96000000,2965.97000000,2964.43000000
2956.47000000,2968.00000000,2954.94000000
2946.78000000,2958.27000000,2946.14000000
2965.51000000,2966.19000000,2946.44000000
2957.05000000,2965.52000000,2955.31000000
2957.69000000,2959.53000000,2955.47000000
2957.10000000,2959.51000000,2956.82000000
2957.24000000,2958.46000000,2951.75000000
2959.01000000,2960.53000000,2954.72000000
2958.30000000,2960.36000000,2957.01000000
2963.45000000,2963.62000000,2957.94000000
2957.23000000,2963.71000000,2955.37000000
2956.19000000,2959.04000000,2954.83000000
2960.46000000,2960.99000000,2955.42000000
2959.01000000,2963.70000000,2958.58000000
2961.74000000,2963.29000000,2956.59000000
2961.20000000,2964.44000000,2959.33000000
2963.50000000,2965.99000000,2958.00000000
2965.98000000,2968.18000000,2963.49000000
2957.78000000,2967.35000000,2953.71000000
2964.79000000,2968.38000000,2957.77000000
2963.70000000,2965.65000000,2960.50000000
2960.95000000,2963.94000000,2960.45000000
2961.40000000,2962.01000000,2959.22000000
2961.54000000,2963.24000000,2956.61000000
2964.33000000,2964.96000000,2956.72000000
2967.90000000,2968.01000000,2964.34000000
2973.87000000,2978.87000000,2967.24000000
2970.24000000,2988.52000000,2967.83000000
2967.13000000,2972.25000000,2967.09000000
2960.86000000,2967.13000000,2952.29000000
2959.18000000,2972.64000000,2956.22000000
2951.80000000,2962.66000000,2947.79000000
2993.00000000,2993.00000000,2943.13000000
2973.97000000,2994.32000000,2971.85000000
2963.41000000,2976.71000000,2960.96000000
2976.83000000,2980.24000000,2962.84000000
2972.90000000,2979.90000000,2964.90000000
2981.91000000,2983.52000000,2969.18000000
2988.23000000,2990.78000000,2977.40000000
2980.24000000,3020.00000000,2975.17000000
2972.14000000,2985.11000000,2953.90000000
2966.49000000,2975.74000000,2959.60000000
2967.75000000,2975.51000000,2956.22000000
2977.37000000,2985.00000000,2967.75000000
2970.06000000,2978.28000000,2967.02000000
2960.63000000,2971.32000000,2958.25000000
2966.40000000,2970.32000000,2959.80000000
2964.99000000,2967.00000000,2960.00000000
2977.06000000,2978.70000000,2961.49000000
2981.97000000,2988.21000000,2973.75000000
2985.25000000,2990.04000000,2981.60000000
2977.25000000,2987.40000000,2976.93000000
2981.36000000,2985.55000000,2977.22000000
2983.11000000,2985.62000000,2980.79000000
2998.73000000,3007.06000000,2981.03000000
2985.03000000,3002.41000000,2985.02000000
2981.84000000,2987.80000000,2981.00000000
2973.00000000,2983.23000000,2969.42000000
2969.50000000,2974.33000000,2968.77000000
2966.99000000,2970.84000000,2960.26000000
2973.08000000,2976.84000000,2966.99000000
2988.37000000,2993.33000000,2971.10000000
2983.60000000,2990.43000000,2983.30000000
2983.01000000,2989.04000000,2983.00000000
2983.07000000,2986.65000000,2976.92000000
2970.32000000,2984.51000000,2970.01000000
2958.83000000,2973.49000000,2953.54000000
2969.18000000,2976.16000000,2958.50000000
2961.99000000,2969.81000000,2960.65000000
2968.00000000,2971.95000000,2951.62000000
2966.79000000,2973.75000000,2964.00000000
2940.00000000,2969.23000000,2936.30000000
2946.80000000,2950.57000000,2937.67000000
2948.00000000,2954.04000000,2946.11000000
2950.00000000,2951.85000000,2944.31000000
2965.50000000,2965.50000000,2949.17000000
2963.79000000,2968.77000000,2962.49000000
2967.99000000,2977.77000000,2963.79000000
2958.99000000,2969.50000000,2956.94000000
2957.79000000,2961.93000000,2957.49000000
2956.80000000,2959.49000000,2953.27000000
2954.16000000,2956.77000000,2951.27000000
2971.80000000,2974.29000000,2954.28000000
2966.32000000,2971.99000000,2965.41000000
2970.91000000,2971.50000000,2966.32000000
2971.74000000,2974.55000000,2968.49000000
2971.50000000,2974.12000000,2970.21000000
2980.55000000,2984.99000000,2970.40000000
2984.24000000,2990.36000000,2979.23000000
2979.51000000,2987.23000000,2977.60000000
2986.06000000,2988.49000000,2977.19000000
2990.66000000,2997.07000000,2985.95000000
2992.08000000,2992.58000000,2987.42000000
2994.36000000,2995.00000000,2988.24000000
2985.25000000,2994.62000000,2983.57000000
2985.02000000,2988.30000000,2982.46000000
2982.75000000,2989.26000000,2981.42000000
2978.53000000,2986.76000000,2978.45000000
2982.34000000,2986.08000000,2977.26000000
2989.54000000,2990.32000000,2979.77000000
2993.60000000,2995.99000000,2987.51000000
2989.21000000,2995.40000000,2987.52000000
2995.10000000,2995.45000000,2986.36000000
2989.37000000,3003.02000000,2989.37000000
2992.63000000,2996.37000000,2989.37000000
2998.01000000,2999.30000000,2991.15000000
2995.13000000,3002.12000000,2994.52000000
2995.52000000,2996.56000000,2990.20000000
2989.78000000,2995.58000000,2989.78000000
2986.81000000,2990.19000000,2985.75000000
2986.28000000,2987.26000000,2985.38000000
2986.83000000,2990.55000000,2984.09000000
2987.16000000,2988.02000000,2986.35000000
2983.08000000,2989.56000000,2980.28000000
2982.21000000,2985.09000000,2980.45000000
2982.94000000,2984.61000000,2980.77000000
2980.30000000,2983.64000000,2980.30000000
2981.89000000,2983.12000000,2980.31000000
2982.64000000,2983.12000000,2981.39000000
2977.86000000,2982.86000000,2974.72000000
2982.47000000,2983.40000000,2977.26000000
2988.89000000,2989.35000000,2981.57000000
2986.10000000,2991.36000000,2986.00000000
2990.50000000,2991.25000000,2985.52000000
2991.89000000,2992.63000000,2988.37000000
2992.29000000,2992.69000000,2989.66000000
2988.37000000,2992.29000000,2988.37000000
2989.84000000,2992.00000000,2987.21000000
2990.75000000,2992.63000000,2989.73000000
2987.79000000,2991.59000000,2987.55000000
2988.05000000,2991.10000000,2987.47000000
2987.84000000,2988.60000000,2986.00000000
2985.84000000,2988.56000000,2985.47000000
2985.15000000,2985.84000000,2981.69000000
2983.20000000,2986.25000000,2982.90000000
2985.36000000,2985.47000000,2983.01000000
2986.48000000,2987.20000000,2984.42000000
2985.76000000,2987.10000000,2985.29000000
2981.94000000,2986.02000000,2981.94000000
2980.27000000,2982.90000000,2979.99000000
2983.12000000,2984.93000000,2980.26000000
2981.46000000,2983.12000000,2981.46000000
2978.52000000,2981.46000000,2977.96000000
2979.50000000,2979.68000000,2978.52000000
2975.84000000,2980.53000000,2972.66000000
2972.63000000,2976.16000000,2970.98000000
2976.44000000,2977.86000000,2971.99000000
2975.77000000,2978.79000000,2974.55000000
2978.43000000,2978.51000000,2975.61000000
2979.50000000,2980.66000000,2976.15000000
2979.00000000,2980.35000000,2975.30000000
2976.03000000,2978.99000000,2974.91000000
2975.50000000,2976.71000000,2975.24000000
2976.80000000,2978.63000000,2974.92000000
2973.14000000,2977.83000000,2971.16000000
2974.55000000,2975.71000000,2972.98000000
2976.31000000,2977.00000000,2973.23000000
2978.94000000,2978.95000000,2975.40000000
2979.07000000,2980.44000000,2977.52000000
2978.20000000,2982.82000000,2976.92000000
2980.13000000,2980.13000000,2976.80000000
2979.32000000,2981.72000000,2979.31000000
2978.93000000,2979.80000000,2976.58000000
2977.52000000,2978.94000000,2976.98000000
2975.99000000,2977.52000000,2974.75000000
2977.39000000,2978.61000000,2976.00000000
2976.33000000,2977.49000000,2976.27000000
2976.20000000,2976.94000000,2975.55000000
2975.33000000,2976.93000000,2973.76000000
2975.99000000,2976.00000000,2975.33000000
2976.13000000,2976.83000000,2975.09000000
2980.49000000,2980.58000000,2976.13000000
2978.33000000,2980.50000000,2978.33000000
2978.07000000,2978.99000000,2977.70000000
2981.62000000,2981.62000000,2977.99000000
2982.02000000,2983.93000000,2980.56000000
2989.28000000,2990.00000000,2981.20000000
2985.50000000,2989.29000000,2985.13000000
2983.35000000,2985.90000000,2982.93000000
2982.66000000,2983.35000000,2981.91000000
2984.49000000,2985.08000000,2982.52000000
2983.96000000,2985.80000000,2983.93000000
2982.46000000,2985.48000000,2982.19000000
2985.08000000,2985.09000000,2982.45000000
2989.90000000,2990.41000000,2985.08000000
2990.23000000,2990.24000000,2989.09000000
2991.76000000,2993.82000000,2990.24000000
2992.99000000,2994.41000000,2991.03000000
2991.40000000,2993.67000000,2991.25000000
2991.03000000,2991.78000000,2990.79000000
2989.35000000,2991.04000000,2988.30000000
2989.41000000,2989.45000000,2988.78000000
2989.54000000,2990.80000000,2989.06000000
2984.18000000,2989.54000000,2964.17000000
2981.58000000,2984.50000000,2980.99000000
2981.59000000,2983.34000000,2981.58000000
2983.85000000,2983.86000000,2981.48000000
2985.63000000,2986.16000000,2983.85000000
2986.77000000,2986.99000000,2985.15000000
2986.30000000,2987.63000000,2986.30000000
2985.99000000,2986.30000000,2985.54000000
2984.25000000,2985.99000000,2983.81000000
2983.87000000,2986.34000000,2982.19000000
2984.31000000,2984.32000000,2982.99000000
2984.48000000,2985.09000000,2983.29000000
2983.74000000,2984.48000000,2981.99000000
2985.09000000,2985.09000000,2983.04000000
2986.57000000,2987.03000000,2984.89000000
2986.49000000,2988.74000000,2983.68000000
2987.93000000,2988.50000000,2986.49000000
2987.95000000,2989.50000000,2986.00000000
2986.32000000,2988.50000000,2986.32000000
2986.54000000,2987.99000000,2984.42000000
2985.09000000,2986.54000000,2983.06000000
2984.07000000,2986.24000000,2983.49000000
2980.99000000,2984.08000000,2979.81000000
2983.34000000,2983.49000000,2980.76000000
2982.59000000,2983.38000000,2982.14000000
2983.80000000,2984.27000000,2982.00000000
2984.52000000,2984.80000000,2982.99000000
2985.01000000,2985.39000000,2984.52000000
2983.76000000,2985.01000000,2983.76000000
2984.05000000,2984.50000000,2983.03000000
2983.40000000,2984.06000000,2983.32000000
2982.59000000,2983.41000000,2982.35000000
2981.55000000,2982.59000000,2980.66000000
2980.50000000,2981.95000000,2979.74000000
2980.55000000,2981.53000000,2980.09000000
2979.62000000,2982.01000000,2978.67000000
2978.16000000,2979.61000000,2977.75000000
2977.25000000,2978.16000000,2975.30000000
2975.40000000,2978.49000000,2975.00000000
2978.36000000,2978.37000000,2975.28000000
2980.25000000,2980.50000000,2978.28000000
2982.60000000,2984.66000000,2978.73000000
2980.36000000,2982.60000000,2980.03000000
2980.49000000,2982.30000000,2980.36000000
2981.98000000,2982.00000000,2979.92000000
2982.28000000,2983.63000000,2981.98000000
2981.24000000,2987.18000000,2981.24000000
2986.51000000,2986.52000000,2981.24000000
2985.49000000,2987.11000000,2984.87000000
2983.61000000,2985.49000000,2982.12000000
2985.75000000,2986.21000000,2983.62000000
2987.73000000,2990.00000000,2985.75000000
2989.02000000,2989.08000000,2987.46000000
2987.20000000,2989.11000000,2987.13000000
2987.00000000,2988.52000000,2986.15000000
2985.56000000,2987.00000000,2985.56000000
2985.36000000,2985.56000000,2984.67000000
2983.00000000,2985.51000000,2982.60000000
2983.05000000,2983.05000000,2982.18000000
2985.10000000,2985.94000000,2982.44000000
2983.76000000,2985.20000000,2983.37000000
2984.49000000,2984.50000000,2983.77000000
2985.10000000,2985.11000000,2984.33000000
2986.23000000,2986.48000000,2984.56000000
2984.37000000,2986.24000000,2983.83000000
2985.55000000,2986.42000000,2984.36000000
2986.52000000,2986.99000000,2985.39000000
2986.45000000,2986.52000000,2985.97000000
2985.34000000,2986.46000000,2984.61000000
2985.04000000,2985.89000000,2984.54000000
2983.16000000,2985.05000000,2983.09000000
2982.54000000,2983.17000000,2982.19000000
